TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact,AllNotes
9064,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-10-25,60,60,6,5,Looting,"1 RT on the top, concrete in, 1 RT next to mound - looking for chariot?; Bara:Lozenska mogila"
9065,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-25,40,30,2,5,road,western part of the mound cut by the road; Bara:dirt road around took half of the mound
9066,Survey,Burial Mound,Annual agriculture,Pasture,2010-10-25,40,40,3,5,Looting,"secondary digged medieval grave, stony structure uncovered (stones 10 x 15); Bara:secondary grave on the top, stone structure, visible Hellenistic stratigraphy"
9067,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-25,22,22,1.7,2,Construction,"fence around, cross on the top; Bara:cross on the top, behind an old fence"
9068,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-25,40,40,0.5,5,Agriculture,entirely ploughed over
9069,Legacy verification,Burial Mound,Pasture,Scrub,2010-10-26,30,30,2,4,Looting,"on the top of the hill; Bara:8 meters large RT, probably entirely robbed"
9070,Legacy verification,Burial Mound,Pasture/Scrub,Forest,2010-10-26,30,30,NA,5,Bioturbation,"on the top of the hill, length and width filled from 2001 sat img where outlines visible; Bara:some big trees all around"
9071,Legacy verification,Extinct Burial Mound,Pasture,Scrub,2010-10-26,60,30,2,5,unknown,
9072,Legacy verification,Burial Mound,Perennial agriculture,Perennial agriculture,2010-10-26,60,40,2,5,Agriculture,vineyard; Bara:in an old vineyard - could there still be something?
9073,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-10-26,40,30,4,4,Looting,on the top of the hill
9074,Survey,Burial Mound?,Pasture,Pasture,2010-10-26,20,20,2,5,Construction,"on the top of the hill, waterhouse; Bara:waterhouse in the mound"
9075,Survey,Burial Mound?,Pasture,Pasture,2010-10-26,20,20,2,5,Construction,"on the top of the hill, waterhouse; Bara:waterhouse in the mound"
9076,Legacy verification,Burial Mound,Pasture,Scrub,2010-10-26,80,80,3,5,Looting,"on the top of the hill, land around was upside down, destroyed by the robbers; Bara:three deep RTs reaching 2 meters"
9077,Legacy verification,Burial Mound?,NA,NA,2010-10-26,40,30,2.5,5,NA,"2 RTs on the mound, 3 under, they may be looking for carriage around"
9078,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,50,40,2,5,Agriculture,"destroyed by agriculture, 2 thracian shards, 1 point of scatter of thracian pottery western from the mound; Bara:entirely ploughed over"
9079,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-26,30,30,3,4,Looting,"in the middle of the field, cowered by shrubs; Bara:plouughed around"
9080,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,60,60,1.5,5,Agriculture,destroyed by agriculture; Bara:entirely ploughed over
9081,Survey,Burial Mound?,Annual agriculture,Scrub,2010-10-26,15,15,0.5,4,Looting,"in the middle of the field, cowered by shrubs; Bara:in the middle of the field, cowered by scrubs"
9082,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-26,30,25,1.5,3,Construction,in the middle monument of Soviet army; Bara:in the middle monument of Soviet army
9083,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,50,35,2,5,Agriculture,iron construction on the top; Bara:entirely ploughed over
9084,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-10-26,35,20,0.5,5,Agriculture,concrete column in the middle; Bara:entirely ploughed over
9085,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,50,35,0.4,5,Agriculture,destroyed by agriculture; Bara:entirely ploughed over
9086,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-26,15,10,2,5,Agriculture,well 1 x 1 x 1 in the middle; Bara:succumbs to agriculture
9087,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-26,30,25,1,5,Agriculture,shrubs on it; Bara:entirely ploughed over
9088,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-27,38,38,4.5,1,Looting,0; Bara:overgrown
9089,Survey,Burial Mound,NA,NA,2010-10-27,15,15,1,1,NA,0
9090,Legacy verification,Burial Mound,NA,NA,2010-10-27,10,10,0.5,3,NA,0
9091,Survey,Burial Mound,NA,NA,2010-10-27,20,15,1.5,4,NA,0
9092,Survey,Burial Mound,NA,NA,2010-10-27,35,25,2,3,NA,lot of small RTs on the West
9093,Legacy verification,Burial Mound,NA,NA,2010-10-27,20,20,1.5,4,NA,0
9094,Survey,Burial Mound,NA,NA,2010-10-27,40,40,2,4,NA,0
9095,Survey,Burial Mound,NA,NA,2010-10-27,30,25,1.5,3,NA,0
9096,Legacy verification,Burial Mound,NA,NA,2010-10-27,40,40,1.5,3,NA,0
9097,Legacy verification,Extinct Burial Mound,NA,NA,2010-10-27,20,10,2,5,NA,"small rest of mnd, part of huge rounded structure with 2 holes hut into terrain,1 pile of stones"
9098,Legacy verification,Burial Mound?,NA,NA,2010-10-27,40,40,0.3,5,NA,near pile of worked stones
9099,Survey,Burial Mound,NA,NA,2010-10-27,40,40,6,4,NA,strange that it's not in map because of it's measures
9100,Legacy verification,Burial Mound,NA,NA,2010-10-27,25,20,3,3,NA,
9101,Survey,Burial Mound,NA,NA,2010-10-27,20,20,2,5,NA,0
9102,Survey,Burial Mound,NA,NA,2010-10-27,20,20,1.5,5,NA,0
9103,Legacy verification,Burial Mound,NA,NA,2010-10-27,20,20,1.5,3,NA,1 huge RT 6 x 5 x 1.5 furher from the mound
9104,Legacy verification,Burial Mound,NA,NA,2010-10-27,30,25,3,5,NA,0
9105,Legacy verification,Burial Mound,NA,NA,2010-10-27,30,30,2,5,NA,0
9106,Survey,Extinct Burial Mound,NA,NA,2010-10-27,40,40,0.5,5,NA,0
9107,Legacy verification,Extinct Burial Mound,NA,NA,2010-10-27,25,20,1,5,NA,0
9108,Legacy verification,Burial Mound,NA,NA,2010-10-27,30,20,2,4,NA,0
9109,Legacy verification,Burial Mound,NA,NA,2010-10-27,40,40,1.5,3,NA,0
9110,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-27,60,60,6,4,Looting,lot of holes done by animals; Bara:looting in the last decade
9111,Survey,Burial Mound?,Pasture,Pasture,2010-10-27,30,20,4,5,Construction,"2 hills next to each other, in both waterhouse, this one looks like mound; Bara:waterhouse"
9112,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-28,40,40,1.5,4,Agriculture,0; Bara:entirely ploughed over
9113,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-28,30,30,0.8,4,Agriculture,entirely ploughed over
9114,Legacy verification,Extinct Burial Mound,Pasture,Pasture,2010-10-28,30,30,1.5,4,Agriculture,entirely ploughed over
9115,Survey,Extinct Burial Mound,Pasture,Pasture,2010-10-28,30,30,1.5,4,Agriculture,entirely ploughed over
9116,Survey,Burial Mound,Pasture,Pasture,2010-10-28,20,20,0.6,5,Agriculture,entirely ploughed over
9117,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-28,40,20,1.5,4,Agriculture,entirely ploughed over
9118,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-10-28,40,40,1.5,4,Agriculture,entirely ploughed over
9119,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-10-29,35,35,1,4,Agriculture,"rests of stony construction on the top of the mound, stones 20x40; Bara:entirely ploughed over, stones on the top"
9120,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-29,30,30,0.5,5,Agriculture,entirely ploughed over
9121,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-29,30,30,0.5,5,Agriculture,entirely ploughed over
9122,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-10-29,25,25,0.5,5,Agriculture,entirely ploughed over
9123,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-29,30,30,2,4,Looting,W - E ditch through all mound; Bara:Starata Koriya
9124,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-29,25,25,1.5,5,Looting,overgrown
9125,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,30,20,1,3,Looting,Roman pottery and AC; Bara:overgrown
9126,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,40,40,2.5,4,Looting,no structure to be seen in the RT on the top
9127,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,25,25,2,3,Looting,"Pottery is very fragmentated, not datable"
9128,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,28,28,4.5,5,Looting,"no structures or finds, 1/2 of the mound (N face) was taken by excavator"
9129,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-01,50,50,0.8,5,Agriculture,some undatable pottery; Bara:entirely ploughed over
9130,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-10-31,25,25,1.5,2,road,Eastern part destroyed by dirt road; Bara:E part destroyed by a dirt road
9131,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,20,20,4,3,Looting,"NW section destroyed by excavator, single fts of pottery, not datable; Bara:NW section taken by excavator"
9132,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,25,25,2,2,Looting,1 bioturbation in the N part of the trench
9133,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-10-31,15,15,0.8,3,Looting,"situated in a dense bush, probably a stone structure"
9135,Legacy verification,Burial Mound,Forest,Scrub,2010-10-31,30,30,3.5,5,Looting,"Grave structure, destroyed; Bara:overgrown, large trench with a SW orientation and a clear stratigraphy, grave structure destroyed"
9136,Legacy verification,Burial Mound,Forest,Scrub,2010-10-31,40,40,2,2,Looting,0; Bara:overgrown
9137,Legacy verification,Burial Mound,Forest,Scrub,2010-10-31,50,50,8,5,Looting,"Tunnel with vaulted ceiling, huge RTs; Bara:tunnel through the whole mound, revealed stratigraphy, NW part taken by excavator (8m deep)"
9138,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,40,50,6,5,Looting,"Looks like camel, 2 military trenches, E and S bioturbation; Bara:2 military trenches to E and S of the mound"
9139,Legacy verification,Burial Mound,Pasture,Pasture,2010-10-31,50,50,7,5,Looting,
9140,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-01,40,40,2,5,Looting,"fragments of unidentified pottery, SW part of the mound taken by excavator, grave probably robbed; Bara:grave probably robbed"
9141,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,25,30,2,5,Agriculture,"stratigraphy visible on the surface; Bara:entirely ploughed over, visible stratigraphy on the surface"
9142,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,20,20,1.5,5,Agriculture,stratigraphy visible on the surface
9143,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,30,30,1,5,Agriculture,"stratigraphy visible on the surface, pottery to fragmentated to be datable; Bara:stratigraphy visible on the surface"
9144,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,30,30,1,5,Agriculture,stratigraphy visible on the surface; Bara:stratigraphy visible on the surface
9145,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,20,20,1,5,Agriculture,"stratigraphy visible on the surface, traces of cremations visible on the surface; Bara:stratigraphy visible on the surface, traces of at least three cremations, burnt earth and pottery"
9146,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,40,40,5,5,Agriculture,stratigraphy visible on the surface; Bara:stratigraphy visible on the surface
9147,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,20,20,0.5,5,Agriculture,stratigraphy visible on the surface; Bara:stratigraphy visible on the surface
9148,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,25,25,2,5,Agriculture,stratigraphy visible on the surface; Bara:stratigraphy visible on the surface
9149,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,40,40,1,5,Agriculture,"stratigraphy visible on the surface, Roman AC"
9150,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,40,40,1,5,Agriculture,stratigraphy visible on the surface; Bara:stratigraphy visible on the surface
9151,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,30,30,3,4,Agriculture,stratigraphy visible on the surface
9152,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-01,40,40,1,5,Agriculture,totally ploughed
9153,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,30,30,1.5,5,Agriculture,totally ploughed
9154,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,40,40,4,5,Agriculture,stratigraphy visible
9155,Legacy verification,Burial Mound,Pasture,Scrub,2010-11-01,25,25,1.5,5,Looting,"1 big RT on the top of the mound, shape is altered by dug out material, spread over it"
9156,Survey,Burial Mound,Annual agriculture,Pasture/Scrub,2010-11-01,50,50,8,4,Looting,strange way of placing RTs - these are all around the top of the mound
9157,Legacy verification,Burial Mound,Annual agriculture,Pasture/Scrub,2010-11-01,30,30,4,5,Looting,0
9158,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-01,30,30,2,5,Agriculture,totally ploughed
9159,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-01,40,40,0.1,5,Agriculture,"totally ploughed, just visible lighter pattern on the soil"
9160,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-01,40,40,0.1,5,Agriculture,"totally ploughed, just visible lighter pattern on the soil"
9161,Legacy verification,Burial Mound,Perennial agriculture,Perennial agriculture,2010-11-01,15,15,1,5,Agriculture,0
9162,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-01,35,35,2.5,5,Construction,W part of the mound destroyed by excavator
9163,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-01,30,30,2.5,5,Looting,ca 40cm under surface stone structure or layer
9164,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-01,35,35,2,5,Looting,old trenches
9165,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-01,40,40,6,4,Looting,ca 40cm under surface stone structure or layer
9166,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-03,30,30,5,3,Construction,"Northern part of the mound taken by fence, located exactly in the village; Bara:N part taken by a fence"
9167,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-04,40,40,1,4,Agriculture,Modern scatern AC
9168,Survey,Burial Mound?,Pasture,Pasture,2010-11-04,35,20,1.7,2,Construction,Necropolis Bezmer; Bara:might be created by a building SE of the mound
9169,Survey,Burial Mound,Pasture,Pasture,2010-11-04,40,35,2.5,2,Construction,Necropolis Bezmer
9170,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-04,50,50,0.8,5,Agriculture,"Ploughed over at some point. Necropolis, Bezmer"
9171,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-04,40,40,2,4,Agriculture,"Necropolis, Bezmer"
9172,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-04,30,30,3,5,Agriculture,Necropolis Bezmer
9173,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-04,25,25,2.5,2,Agriculture,Necropolis Bezmer
9174,Legacy verification,Burial Mound,Annual agriculture,Pasture/Scrub,2010-11-04,35,35,2.5,3,Agriculture,Necropolis Bezmer
9175,Legacy verification,Burial Mound,Annual agriculture,Pasture/Scrub,2010-11-04,40,40,5,1,Agriculture,"Necropolis, Bezmer"
9177,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,45,45,1.7,4,Looting,"robers trench 4x3x1.5 and 1/4 of mound taken by fencing, also a marker on top.; Bara:fence on W, marker on top"
9178,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-04,50,50,0.4,5,Agriculture,totally ploughed
9179,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,50,50,5,2,Looting,"soil partly removed from the Western part, bioturbation; Bara:taken by excavator"
9180,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-04,40,40,3,2,Agriculture,
9181,Legacy verification,Burial Mound,Pasture,Scrub,2010-11-04,60,60,4,2,Anthropogenic,"upper part leveled, lot of nut trees growing on the mound; Bara:upper part levelled"
9182,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-05,25,25,1.8,5,Agriculture,0
9183,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-05,20,20,1.2,5,Agriculture,0
9184,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,35,35,1.5,5,Agriculture,0
9185,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-05,30,30,1.5,5,Agriculture,
9186,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,20,20,1.5,5,Agriculture,
9187,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-05,25,25,1,5,Agriculture,
9188,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,30,20,1.8,5,Agriculture,stone on the top
9189,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,30,30,1.5,5,Agriculture,0
9190,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,35,25,1.5,5,Looting,bioturbation
9191,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,40,40,2,5,Agriculture,road goes through the middle of the mound
9192,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,40,40,1,5,Agriculture,ploughed over
9193,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-05,45,45,2.5,1,Construction,0; Bara:ploughed over
9194,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,40,40,2,1,Agriculture,0
9195,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,40,40,1.5,2,Agriculture,road on top in GEPro
9196,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-05,35,35,4,5,Looting,huge trench going through the mound
9197,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,25,25,0.8,5,Agriculture,0
9198,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,20,20,1,3,Looting,"crossed by road, ditch in the South"
9199,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,40,40,1.5,5,Agriculture,0
9200,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-04,40,40,4,2,Looting,Large biotorbation on top of mound. Trench is old.
9201,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-04,40,40,5,2,Looting,Trench is old. Biotorbation on the eastern side of the mound.
9202,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,50,50,4.5,2,Looting,Trenches are old
9203,Legacy verification,Burial Mound,Pasture,Perennial agriculture,2010-11-04,50,50,6,5,Looting,Eastern side of mound destroyed by mashinery.
9204,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,25,25,2,5,Construction,Mound totally destroyed by mashinery. Large wind-power generator in the southeastern margin.
9205,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-04,35,35,1.7,5,Agriculture,"overplowed, pottery scatter"
9206,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-04,40,40,7,1,Looting,Biotorbations on top.
9207,Survey,Burial Mound,Pasture,Pasture,2010-11-04,30,30,3,3,None,
9208,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-04,20,20,1.5,5,Agriculture,ploughed over; Bara:ploughed over
9209,Survey,Burial Mound?,Annual agriculture,Annual agriculture,2010-11-04,30,30,1.5,5,Agriculture,ploughed over; Bara:ploughed over
9210,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-04,20,20,1.5,5,Agriculture,ploughed over
9211,Survey,Burial Mound,Annual agriculture,Scrub,2010-11-04,30,30,2.5,1,Agriculture,
9212,Survey,Burial Mound,Pasture,Pasture,2010-11-04,40,40,2,3,Construction,Trench is old.
9213,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-11-04,35,35,4,1,Agriculture,Circular enclosure around mound. Maybe source of material.
9214,Legacy verification,Extinct Burial Mound,NA,NA,2010-11-04,40,40,5,5,NA,Concrete structure built on top of the mound. Probably related to water supply. Deep foundations. Probably piping.
9215,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-04,25,25,1,5,Agriculture,ploughed over
9216,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-04,49,40,5,2,Looting,
9217,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-04,25,25,1.8,5,Agriculture,overplowed.
9218,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,50,50,8,3,Looting,"large biotorbations (supposedly badgers). At least one cremation burial destroyed by animals. Dense scatters of pottery, daub, charred bones. Size of daub bricks: 7x11x16 cm. Three samples taken: from western, eastern and northern hole."
9219,Survey,Burial Mound,Pasture,Pasture,2010-11-04,25,25,3,3,Looting,Large single dich visible to the north of the mound. Traces of stone extraction. Disrupted terrain.
9220,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,30,30,3,1,Construction,
9222,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,20,20,2,3,Looting,excavated 2018
9223,Survey,Burial Mound,Pasture,Pasture,2010-11-04,15,15,1.5,4,Looting,excavated 2018
9224,Survey,Burial Mound,Pasture,Pasture,2010-11-04,20,20,1.5,3,None,
9225,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,15,15,1,2,None,
9226,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-04,20,20,1.5,3,Looting,
9227,Survey,Burial Mound,Pasture,Pasture,2010-11-04,35,35,4,5,Looting,Whole southern part of mound destroyed by excavators. On top of the mound is a shaft 2x1x3 m. Visible stratigraphy.
9228,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-05,20,20,2,5,Agriculture,Overploughed and road crossing
9229,Legacy verification,Burial Mound,Pasture,Scrub,2010-11-06,50,50,1,3,Looting,
9230,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-05,25,30,2,4,Looting,was pasture until 2010; Bara:kamenen kozhuch
9231,Legacy verification,Burial Mound,Pasture,Scrub,2010-11-05,15,15,0.5,5,Looting,Made of stones; Bara:kamenen kozhuch
9232,Legacy verification,Burial Mound,Pasture,Scrub,2010-11-05,20,15,1.5,4,Looting,Made of stones; Bara:kamenen kozhuch
9233,Legacy verification,Burial Mound,Forest,Scrub,2010-11-05,25,25,1.5,5,Looting,Several large RT:s. Inside vissible stone structure; Bara:kamenen kozhuch
9234,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-05,15,20,0.5,5,Agriculture,Western poart ploughed
9235,Legacy verification,Burial Mound,Forest,Scrub,2010-11-05,35,40,3.5,5,Looting,"Inner structure destoyed, vissible stratigraphy,repeated layers of ashe and chauk"
9236,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,30,30,2,5,Looting,"RT  south side 1/3 of mound removed, anny possible inner structure destroyed, vissible stratigraphy"
9237,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,15,15,1.5,4,Looting,RT:s on top
9238,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,25,25,2,4,Looting,"Old RT on top, filled back"
9239,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,20,20,1.5,4,Looting,Geodetic point (1985)
9240,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,35,35,3,4,Looting,
9241,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,15,15,0.5,4,Looting,
9242,Survey,Burial Mound?,Pasture,Pasture/Scrub,2010-11-05,10,10,0.5,2,unspecified,
9243,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,25,25,2,5,Looting,"NE 1/2 mound destroyed, an old RT"
9244,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,20,15,0.5,5,Looting,Low mound destroyed by RT
9245,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,30,30,3,4,Construction,Marker on top
9246,Survey,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,20,20,2,4,Looting,RT:s on top
9247,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-05,35,35,4,2,Looting,With credis; Bara:with crepis
9248,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-06,20,30,2.5,2,Construction,Geoditic point on top; Bara:geodetic point on top
9249,Survey,Burial Mound,Annual agriculture,Pasture,2010-11-06,15,15,2,3,Looting,
9250,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-06,30,30,3,2,Looting,
9251,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-06,30,30,2,4,Looting,"South side partly minning, old RT? Anny possible grave structure probably destroyed"
9252,Legacy verification,Burial Mound,Pasture,Pasture/Scrub,2010-11-06,30,30,3,4,Looting,
9253,Survey,Burial Mound,Forest,Scrub,2010-11-06,25,25,3,5,Looting,some undatable pottery; Bara:kamenen kozhuch
9254,Survey,Burial Mound,Forest,Pasture/Scrub,2010-11-06,20,20,0.5,5,Looting,
9255,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-06,25,25,1.7,5,Agriculture,Ploughed over
9256,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-06,35,35,1,5,Agriculture,Main part ploughed over less than 1/3 of  the maound is meadow
9257,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-11-07,30,30,2.5,3,Looting,0
9258,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,20,20,2.5,5,Agriculture,"Over ploughed, road crossing"
9259,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-07,30,30,2,5,Construction (military activity),"RT S side. S side also military structure, tank hide out, soil taken from mound?"
9261,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-07,35,40,3,4,Looting,RT recentley backfilled
9262,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,30,30,1.5,5,Agriculture,"Over ploughed stratigraphy, lighter soil on surface; Bara:visible stratigraphy"
9263,Survey,Burial Mound,Annual agriculture,Pasture,2010-11-07,30,30,3,2,Looting,Old RTs
9264,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-07,30,30,2.5,3,Looting,"near TOPO 200302,offset to NW"
9265,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-07,30,30,2.5,2,Looting,
9266,Survey,Burial Mound,Pasture,Pasture,2010-11-07,30,30,2,2,Looting,
9267,Survey,Burial Mound?,Pasture,Pasture,2010-11-07,20,20,1,5,Looting,"West side 1/3 of the mound removed, trace of digging"
9268,Survey,Burial Mound?,Annual agriculture,Pasture,2010-11-07,35,35,1,5,Agriculture,Ploughed over at some point. Mound barley vissible in the meadow.; Bara:ploughed over at some point
9269,Survey,Burial Mound?,Annual agriculture,Pasture,2010-11-07,40,40,1,5,Agriculture,"Possible mound, low round earth work; Bara:ploughed over at some point"
9270,Survey,Burial Mound,Pasture,Pasture,2010-11-07,20,20,1.5,2,Agriculture,ploughed over at some point
9271,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-07,20,20,1,5,Agriculture,"Over ploughed at some point, spatial error: ca 80m West of TOPOgraphic symbol no.200304; Bara:ploughed over at some point"
9272,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-07,40,25,2.5,4,Looting,"N side large trench, parte of a ditch runing over the mound in NE-SE direction"
9273,Legacy verification,Burial Mound,Annual agriculture,Pasture/Scrub,2010-11-07,25,25,2.5,3,Looting,
9274,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-07,45,45,5,1,None,
