TRAP,createdBy,Date,Type,AllNotes,Source,DescriptionOfMoundOrLocale,LU_Around,LU_Top,Latitude,Longitude,Northing,Easting,Accuracy,FacingDirectionForPhoto,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,DamageNotes,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
9567,Vera Dolezalkova,2017-09-13,Burial Mound,photo 46,Legacy verification,NA,Annual agriculture,Annual agriculture,42.38421287,26.13229737,4692800.979,428572.5807,3,East,0.8,18,NA,18,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(428572.580737 4692800.979248)
8142,Bara Weissova,2017-09-13,Burial Mound,"grassland,grassland",Legacy verification,elevation marker on top,Pasture,Pasture,42.443048,26.600645,NA,NA,3,West,4,40,NA,35,NA,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,2 - good,Looting,Unknown,"01,irregular, 4,8,1.5, manual excavation; 02, irregular, 1.5, 0.5, manual excavation; 03,irregular, 2,3, 0.5, manual excavation; 04, irregular, 13,6, 4, likely made by machine; 05, irregular, 10,4, 4, likely made by machine; 06,irregular, 2.5, 0.5, manual excavation",NA,files/app/3a6f3323-f5bd-4e49-ab52-212f3eccc201_image-1505298760483.original.jpg - files/app/4b1ffadf-077e-405a-970d-8cf49bc38f8e_image-1505308475116.original.jpg,POINT(467084.775578 4698742.866633)
8359,Adela Sobotkova,2017-09-13,Uncertain Mound,"grassland,#262",Legacy verification,uncertain due to refuse ditch but has a geodetic point,Scrub,Pasture,42.50883206,26.58092907,4706358.857,465571.3818,3,East,2.5,23,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,,Post-depositional,NA,2 - good,Post-depositional,Unknown,NA,NA,NA,POINT(465571.38175 4706358.857014)
8143,Bara Weissova,2017-09-13,Burial Mound,,Legacy verification,NA,Annual agriculture,Annual agriculture,42.44751947,26.60218398,4699542.395,467285.6518,3,Southeast,0.8,50,NA,50,NA,Loose artefacts,NA,No,Roman,files/app/2b50adbf-bd5e-4a5f-8538-13d8798d53d0_image-1505300037557.original.jpg,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(467285.651755 4699542.395175)
8144,Bara Weissova,2017-09-13,Surface Scatter,,Survey,NA,Annual agriculture,Annual agriculture,42.360651,26.041216,NA,NA,4,No Observation,0,0,0,0,NA,Artefact scatter,"pottery scatter - table ware, dolium, kitchen ware, gray ware",No,Roman,NA,0 - No observation,,Agriculture,NA,1 - full,Agriculture,Last year,NA,NA,NA,POINT(421039.335654 4690266.36853)
9568,Vera Dolezalkova,2017-09-13,Surface Scatter,,Legacy verification,one amphora handle in the field,Annual agriculture,Annual agriculture,42.344831,26.114811,NA,NA,6,No Observation,0,0,NA,NA,NA,Artefact scatter,"only one amphora handle, but there was a less visibility,so there could be a pottery scatter",No,NA,NA,0 - No observation,,No observation,NA,No observation,Agriculture,Last month,NA,NA,NA,POINT(427055.433058 4688425.080278)
9569,Vera Dolezalkova,2017-09-14,Burial Mound,photo#1,Legacy verification,NA,Annual agriculture,Annual agriculture,42.40570617,26.04358574,4695265.919,421296.8326,3,East,1,18,NA,15,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(421296.832586 4695265.919268)
9570,Vera Dolezalkova,2017-09-14,Burial Mound,"grassland,photo#4
white stone spread all over the mound even though there are no RTs visible (40cm ea.)",Legacy verification,NA,Annual agriculture,Pasture,42.40381993,26.04034342,4695059.484,421027.654,3,West,2.4,22,NA,20,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,animal impact,3 - impaired,Agriculture,Unknown,NA,NA,NA,POINT(421027.653989 4695059.484109)
9571,Vera Dolezalkova,2017-09-14,Burial Mound,photo#5,Legacy verification,NA,Annual agriculture,Annual agriculture,42.39944612,26.04066869,4694573.522,421048.9374,3,Northwest,1.5,25,NA,20,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(421048.937392 4694573.522278)
9572,Vera Dolezalkova,2017-09-14,Burial Mound,photo#7,Legacy verification,NA,Annual agriculture,Annual agriculture,42.39044311,26.03431941,4693579.765,420515.0389,3,West,0.8,19,NA,19,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(420515.038905 4693579.765189)
8360,Adela Sobotkova,2017-09-14,Burial Mound,#273,Survey,"south of the road btw Lozenetz and Venetz, not in the map",Annual agriculture,Annual agriculture,42.64050891,26.74048653,4720927.819,478724.5816,3,East,1.4,40,1,NA,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478724.581638 4720927.818736)
9573,Vera Dolezalkova,2017-09-14,Burial Mound,24 photo,Legacy verification,NA,Annual agriculture,Annual agriculture,42.38740711,26.04650085,4693231.333,421513.9163,3,South,0.9,15,NA,15,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Last week,NA,NA,NA,POINT(421513.91633 4693231.332679)
8361,Adela Sobotkova,2017-09-14,Burial Mound,#274,Survey,"possibly excavated mound south of road, not in the map",Annual agriculture,Annual agriculture,42.63943084,26.73783139,4720808.78,478506.5374,3,Southwest,1.2,50,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,"possibly exvavated),2012 survey of joining gas pipeline)",Excavation,agriculture,4 - minimal (already excavated),Infrastructure,Unknown,NA,NA,NA,POINT(478506.537435 4720808.779875)
9574,Vera Dolezalkova,2017-09-14,Burial Mound,photo#27,Legacy verification,NA,Annual agriculture,Annual agriculture,42.38712981,26.0473699,4693199.739,421585.1068,3,South,2.4,18,NA,18,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(421585.106754 4693199.738803)
8145,Bara Weissova,2017-09-14,Burial Mound,"e.g orchard or vineyard,e.g orchard or vineyard,along Pleistocene lake",Legacy verification,Covered with old vineyard,Perennial agriculture,Perennial agriculture,42.5965278,26.72147963,4716049.069,477150.2832,3,South,3.5,60,NA,50,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,2 - good,Agriculture,Unknown,NA,NA,NA,POINT(477150.283247 4716049.069219)
9575,Vera Dolezalkova,2017-09-14,Burial Mound,"grassland,photo#30",Legacy verification,NA,Annual agriculture,Pasture,42.38768541,26.04738074,4693261.422,421586.6904,3,East,2.6,27,NA,25,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(421586.690364 4693261.421785)
9576,Vera Dolezalkova,2017-09-14,Burial Mound,photo#32,Legacy verification,NA,Annual agriculture,Annual agriculture,42.3881612,26.04757937,4693314.069,421603.6328,3,Northwest,0.5,17,NA,17,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(421603.632848 4693314.068857)
9577,Vera Dolezalkova,2017-09-14,Burial Mound,photo#33,Legacy verification,NA,Annual agriculture,Annual agriculture,42.38867477,26.04766574,4693371.016,421611.3816,3,Northwest,0.5,16,NA,16,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(421611.381556 4693371.015876)
8146,Bara Weissova,2017-09-14,Extinct Burial Mound,on the shore of a Pleistocene lake,Legacy verification,Destroyed by agriculture,Annual agriculture,Annual agriculture,42.59699836,26.7190011,4716101.992,476947.1194,3,South,0,0,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(476947.119423 4716101.991995)
8362,Adela Sobotkova,2017-09-14,Burial Mound,"e.g orchard or vineyard,#275",Legacy verification,right next to the road,Perennial agriculture,Scrub,42.64089119,26.72826896,4720973.413,477723.0978,3,East,3.5,35,3,NA,NA,NA,NA,No,NA,NA,3 - damaged,,Road cut,NA,3 - impaired,Post-depositional,Unknown,NA,south side cut away due to road,NA,POINT(477723.097842 4720973.413417)
8363,Adela Sobotkova,2017-09-14,Burial Mound,"e.g orchard or vineyard,#278",Legacy verification,north of road with geodetic marker,Perennial agriculture,Scrub,42.64204179,26.72737219,4721101.414,477649.9909,3,Northwest,4,35,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,,Post-depositional,NA,1 - full,Animal activity,Unknown,NA,NA,NA,POINT(477649.990913 4721101.41398)
9578,Vera Dolezalkova,2017-09-14,Extinct Burial Mound,photo#37,Legacy verification,NA,Annual agriculture,Annual agriculture,42.39070847,26.05084543,4693593.905,421875.6324,3,North,0.2,0,NA,0,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,5 - none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(421875.632418 4693593.90468)
9579,Vera Dolezalkova,2017-09-14,Burial Mound,photo 38,Legacy verification,NA,Annual agriculture,Annual agriculture,42.39089331,26.05208676,4693613.289,421978.036,3,North,0.4,14,NA,13,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(421978.035965 4693613.288801)
8147,Bara Weissova,2017-09-14,Burial Mound,"grassland,grassland,on the shore of Pleistocene lake",Legacy verification,"Used to be vineyard, evidence of poles, Southern side pipe for irrigation, elevation marker on top of mound",Pasture,Pasture,42.5936338,26.73741899,4715723.538,478456.9475,3,South,3.5,60,NA,50,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,animal activity,2 - good,Animal activity,Last month,NA,NA,NA,POINT(478456.947537 4715723.538442)
8364,Adela Sobotkova,2017-09-14,Burial Mound,#280-282,Legacy verification,mound in ploughed field,Annual agriculture,Annual agriculture,42.6425537,26.73592337,4721156.032,478351.1941,3,East,1.4,30,NA,NA,NA,NA,naturally stony soil,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478351.194094 4721156.0323)
8365,Adela Sobotkova,2017-09-14,Burial Mound,#283-284,Legacy verification,NA,Annual agriculture,Annual agriculture,42.64268392,26.73660096,4721170.32,478406.7872,3,East,1.1,35,0.5,30,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478406.787179 4721170.31985)
9580,Vera Dolezalkova,2017-09-14,Burial Mound,photo#39,Legacy verification,NA,Annual agriculture,Annual agriculture,42.39267737,26.0451599,4693817.77,421410.1124,3,Southwest,0.8,22,NA,20,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(421410.112429 4693817.769813)
8366,Adela Sobotkova,2017-09-14,Burial Mound,#285-286,Legacy verification,large mound,Scrub,Scrub,42.64304669,26.73733598,4721210.414,478467.169,3,Northeast,6,45,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,specify in Annotation),Excavation,NA,2 - good,Other,Unknown,"01, lunette,20,4,2.5,old excavation",NA,files/app/977c01b3-802d-4af3-be0e-831904609dde_image-1505372564707.original.jpg,POINT(478467.168995 4721210.41441)
8148,Bara Weissova,2017-09-14,Extinct Burial Mound,"on the shore of Pleistocene lake,Looks more like embankment of lake than a burial mound",Legacy verification,NA,Annual agriculture,Annual agriculture,42.59463523,26.73132482,4715836.307,477957.3135,3,South,0,0,NA,0,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(477957.313471 4715836.306785)
8367,Adela Sobotkova,2017-09-14,Burial Mound,#287,Legacy verification,NA,Scrub,Scrub,42.6438227,26.73759143,4721296.519,478488.3775,3,Southwest,2.7,35,NA,30,NA,NA,NA,No,NA,NA,2 - minor damage,,Construction,"reservoir incorporated between two mounds, 8366-8367",2 - good,Infrastructure,Unknown,NA,NA,NA,POINT(478488.377476 4721296.519097)
9581,Vera Dolezalkova,2017-09-14,Burial Mound,photo 43,Legacy verification,NA,Annual agriculture,Annual agriculture,42.40097691,26.05087367,4694734.066,421890.6929,3,West,0.4,15,NA,15,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(421890.692864 4694734.065739)
8368,Adela Sobotkova,2017-09-14,Burial Mound,#288,Legacy verification,"ploughed up mound, extensive",Annual agriculture,Annual agriculture,42.64259988,26.73766079,4721160.718,478493.6421,3,Southwest,0.5,25,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(478493.642139 4721160.717564)
8369,Adela Sobotkova,2017-09-14,Burial Mound,#289,Legacy verification,NA,Annual agriculture,Annual agriculture,42.64282251,26.73894843,4721185.112,478599.278,3,Northeast,1.65,25,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478599.278044 4721185.111523)
8370,Adela Sobotkova,2017-09-14,Burial Mound,#290,Legacy verification,decent mound with a soilmark,Annual agriculture,Annual agriculture,42.64283427,26.73876516,4721186.464,478584.2578,3,North,1.8,30,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478584.257796 4721186.464244)
8371,Adela Sobotkova,2017-09-14,Burial Mound,#291,Legacy verification,ploughed up mound in stony field,Annual agriculture,Annual agriculture,42.64350289,26.7392875,4721260.577,478627.3075,3,Northeast,1.6,33,NA,NA,NA,Loose artefacts,Roman tiny sherds,No,NA,NA,3 - damaged,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478627.30751 4721260.576643)
8372,Adela Sobotkova,2017-09-14,Burial Mound,#292,Legacy verification,large mound covered by scrub,Annual agriculture,Scrub,42.64298871,26.73953301,4721203.42,478647.2584,3,South,6.5,30,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,,Post-depositional,NA,1 - full,Post-depositional,Unknown,NA,NA,NA,POINT(478647.258352 4721203.419731)
8373,Adela Sobotkova,2017-09-14,Burial Mound,#298,Legacy verification,NA,Annual agriculture,Annual agriculture,42.64324732,26.74006741,4721232.001,478691.1562,3,Northeast,1,26,NA,NA,NA,Loose artefacts,Roman base with decoration,Yes,NA,files/app/6abc4db3-c0db-4446-a3bb-cd13f92f4452_image-1505376013423.original.jpg,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478691.156182 4721232.001351)
8149,Bara Weissova,2017-09-14,Burial Mound,,Legacy verification,Mound called Lozenska Mogila,Annual agriculture,Scrub,42.56532207,26.70678897,4712588.046,475933.0677,3,East,3,36,NA,30,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,animal activity,2 - good,Animal activity,Last year,"01,rectangular, 3, 3, 1; 02, rectangular, 4, 2, 0.5; 03, irregular, 2, 3, 0.3; 04, irregular, 20, 5, 4, excavated by machine; 05, irregular, 8, 3, 1","Even though there are a large number of robbers trenches, it does not appear that they reached the grave.",files/app/a5848370-cbe0-456d-a7df-43de9a337544_image-1505376613156.original.jpg - files/app/c57c67d2-8c9b-40cb-87e9-b0c7138445af_image-1505377205451.original.jpg,POINT(475933.067678 4712588.046267)
8374,Adela Sobotkova,2017-09-14,Burial Mound,#300,Legacy verification,NA,Annual agriculture,Annual agriculture,42.64326603,26.74077241,4721233.902,478748.9572,3,Northeast,1.5,25,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478748.957238 4721233.901604)
8375,Adela Sobotkova,2017-09-14,Burial Mound,#301,Legacy verification,RM villa necropolis,Annual agriculture,Annual agriculture,42.64337221,26.74142446,4721245.527,478802.4471,3,Northeast,1.3,26,NA,NA,NA,Loose artefacts,red fw,Yes,Roman?,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478802.447081 4721245.527444)
9582,Vera Dolezalkova,2017-09-14,Burial Mound,photo 45,Legacy verification,NA,Annual agriculture,Annual agriculture,42.41083273,26.0553341,4695824.347,422269.9411,3,North,0.4,18,NA,17,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(422269.94107 4695824.346501)
8376,Adela Sobotkova,2017-09-14,Burial Mound,#302-305,Legacy verification,Roman villa necropolis,Annual agriculture,Annual agriculture,42.64317995,26.74220435,4721223.984,478866.3161,128,East,1.45,28,NA,NA,NA,Loose artefacts,"table amphora handle, base,..rims fit together",Yes,NA,files/app/8ce03ed4-4ddc-493b-bcc5-cd4dfcccb1f3_image-1505377254402.original.jpg - files/app/fcc4bcc7-2d95-4a5e-97b6-89a16cd3b02b_image-1505377070361.original.jpg,2 - minor damage,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478866.316069 4721223.983519)
8377,Adela Sobotkova,2017-09-14,Burial Mound,#306-308,Legacy verification,NA,Annual agriculture,Scrub,42.64383983,26.74300737,4721297.057,478932.3695,3,Northeast,3.5,25,NA,NA,NA,Other,field stones from RT piledvon the NW side;,No,NA,NA,2 - minor damage,,Looting,NA,3 - impaired,Looting,Unknown,"[01, round,3,1;02,tail,7,1.5,1]",NA,files/app/5bfff278-eb7c-4987-a876-099f66af3507_image-1505377919511.original.jpg,POINT(478932.369468 4721297.057242)
9583,Vera Dolezalkova,2017-09-14,Burial Mound,"in a settlement or surrounded by infrastructure,grassland,photo 50",Legacy verification,in the middle of the village,Urban,Pasture,42.41403509,26.06017882,4696175.509,422672.517,3,West,0.6,14,NA,13,NA,NA,NA,No,NA,NA,3 - damaged,,Urban development,NA,4 - minimal,Urban development,Last week,NA,NA,NA,POINT(422672.516978 4696175.509019)
8150,Bara Weissova,2017-09-14,Burial Mound,,Legacy verification,"Kirchova Mogila, next to highway",Annual agriculture,Annual agriculture,42.55779069,26.70574259,4711752.06,475844.2747,3,Northeast,1.5,60,NA,55,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(475844.274737 4711752.060217)
8378,Adela Sobotkova,2017-09-14,Burial Mound,#309,Legacy verification,NA,Annual agriculture,Annual agriculture,42.64391798,26.74169733,4721306.063,478825.0015,3,West,1.3,30,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(478825.001511 4721306.062903)
8379,Adela Sobotkova,2017-09-14,Burial Mound,#310,Legacy verification,NA,Annual agriculture,Annual agriculture,42.64431061,26.74055397,4721349.948,478731.4059,3,Northwest,1.3,25,NA,NA,NA,Loose artefacts,"loose red fw, medium thickness X",Yes,Roman,NA,3 - damaged,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478731.405904 4721349.948168)
8380,Adela Sobotkova,2017-09-14,Burial Mound,,Legacy verification,necropolis,Annual agriculture,Annual agriculture,42.64470376,26.74041181,4721393.64,478719.8857,3,North,0.8,18,NA,NA,NA,Loose artefacts,NA,Yes,Roman,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(478719.885745 4721393.63971)
9584,Vera Dolezalkova,2017-09-14,Burial Mound,"in a settlement or surrounded by infrastructure,grassland,photo 51,53",Legacy verification,NA,Urban,Pasture,42.41923309,26.06932143,4696744.403,423431.0922,3,Northwest,2,19,NA,18,NA,Other,trash,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Last year,"[01,rectangular,6,3,1.5]",NA,files/app/c7c0bc20-33df-4a37-b30f-009063e9f3d6_image-1505379594144.original.jpg,POINT(423431.09219 4696744.403181)
8381,Adela Sobotkova,2017-09-14,Extinct Burial Mound,#312,Legacy verification,"no mound, large light brown soilmark CA 100 m across",Annual agriculture,Annual agriculture,42.64460178,26.74380932,4721381.466,478998.3676,3,South,0,0,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,No observation,NA,5 - none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(478998.367587 4721381.46624)
8151,Bara Weissova,2017-09-14,Burial Mound,,Legacy verification,NA,Annual agriculture,Annual agriculture,42.56838646,26.71562174,4712925.844,476659.209,3,North,0.8,55,NA,50,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(476659.208968 4712925.844047)
9585,Vera Dolezalkova,2017-09-14,Burial Mound,photo #54-58,Legacy verification,NA,Scrub,Scrub,42.41937669,26.0687763,4696760.84,423386.4176,3,Northwest,2.6,30,NA,30,NA,Artefact scatter,iron age pottery,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Unknown,"[01, irregular, 10, 6.6, 1.9; 02, circular, 4.4, 4.4, 0.5]",NA,files/app/01ed5fb8-4dd8-4946-bf8c-057c0f9729cc_image-1505380802075.original.jpg - files/app/101cfe29-2970-4f83-af92-4cff7b4d72ff_image-1505380241892.original.jpg - files/app/b75a88b9-a42d-4405-ba4d-fb728105afce_image-1505380379735.original.jpg,POINT(423386.417553 4696760.840005)
8152,Bara Weissova,2017-09-14,Burial Mound,,Legacy verification,Lighter soil mark compared to the surrounding area,Annual agriculture,Annual agriculture,42.57042774,26.72944384,4713148.792,477794.4048,3,Northeast,1,40,NA,35,NA,Loose artefacts,Roman pottery,No,Roman,files/app/6c2fdb10-ecb7-45d7-9ea7-8b0694122553_image-1505381545859.original.jpg,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(477794.404802 4713148.79162)
8153,Bara Weissova,2017-09-14,Burial Mound,,Legacy verification,NA,Annual agriculture,Annual agriculture,42.5765862,26.69620376,4713841.878,475068.7127,3,North,0.8,60,NA,55,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(475068.712664 4713841.878012)
8382,Adela Sobotkova,2017-09-14,Surface Scatter,#320-322,Legacy verification,Roman villa,Annual agriculture,Annual agriculture,42.65247945,26.73995829,4722257.178,478685.363,3,East,0,150,NA,NA,NA,Artefact scatter,"tiles, bricks, pithos rim, wasters, fineware, cookware, hardwired handmade pottery, sample taken",Yes,Roman,NA,3 - damaged,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(478685.36304 4722257.178262)
8154,Bara Weissova,2017-09-14,Burial Mound,,Legacy verification,"Karaybryamska Mogila, massive elevation marker on top",Annual agriculture,Annual agriculture,42.59585691,26.66852819,4715990.224,472805.87,3,Northwest,1,60,NA,55,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(472805.869956 4715990.223804)
8383,Adela Sobotkova,2017-09-14,Surface Scatter,#323,Survey,NA,Annual agriculture,Annual agriculture,42.65228682,26.73007714,4722238.327,477875.3736,3,East,0,150,NA,NA,NA,Artefact scatter,NA,Yes,"ancient wasters, pottery, brick, tiles,less fancy than 8382",NA,0 - No observation,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(477875.373627 4722238.326642)
8384,Adela Sobotkova,2017-09-14,Burial Mound,"grassland,#325",Legacy verification,north most mound on the ridge,Scrub,Pasture,42.65134773,26.72751261,4722134.722,477664.8322,3,Southwest,2.5,25,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,,Anthropogenic,perhaps road cut,1 - full,Post-depositional,Unknown,NA,tiny bit of rose scrub on top,NA,POINT(477664.832229 4722134.722159)
8385,Adela Sobotkova,2017-09-14,Burial Mound,#327,Legacy verification,hilltop mound behind water station,Scrub,Scrub,42.65042453,26.72764953,4722032.173,477675.7245,3,Southeast,3,30,2,NA,NA,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,2 - good,Post-depositional,Unknown,"[01,oblong,8,4,1.5,on top in the middle with scrub inside;02, crescent,7,2.5,1,southside]",NA,files/app/fc4e26db-45ca-4e57-a94d-040d80996ab9_image-1505387431056.original.jpg,POINT(477675.72453 4722032.172756)
8155,Bara Weissova,2017-09-14,Extinct Burial Mound,,Legacy verification,NA,Annual agriculture,Annual agriculture,42.61255764,26.6897997,4717838.072,474557.7939,3,North,0,0,NA,0,NA,Artefact scatter,Some pottery possibly Roman,No,Roman,files/app/df6d0cbd-f161-4bc6-bfe4-d79ce5be4934_image-1505387399630.original.jpg,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(474557.793857 4717838.071988)
8386,Adela Sobotkova,2017-09-14,Extinct Burial Mound,"grassland,#328",Legacy verification,mound converted into a water station,Scrub,Pasture,42.64992832,26.72774941,4721977.046,477683.7343,3,South,3,30,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Urban development,NA,5 - none or nearly none,Infrastructure,Unknown,NA,NA,NA,POINT(477683.734318 4721977.046082)
8156,Bara Weissova,2017-09-14,Burial Mound,,Legacy verification,NA,Annual agriculture,Annual agriculture,42.61120343,26.69773316,4717685.344,475207.9494,3,Northeast,0.8,60,NA,60,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(475207.949372 4717685.343928)
9586,Vera Dolezalkova,2017-09-15,Burial Mound,"grassland,photo #1-2",Legacy verification,NA,Annual agriculture,Pasture,42.31814355,26.61485191,4685172.139,468262.3038,3,North,7,45,6,45,NA,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,3 - impaired,Looting,Unknown,"[01, rectangular, 1.5, 1, 0.5, 3 animal holes]",NA,files/app/a82f5032-7b94-4769-9ce3-7a1821169ed4_image-1505453885221.original.jpg - files/app/e0c9ab2e-b92c-4e8f-ad13-ef9d94c7a7ff_image-1505453678716.original.jpg,POINT(468262.303824 4685172.139061)
9587,Vera Dolezalkova,2017-09-15,Burial Mound,"grassland,photo #3
west half of mound is cut by road in north west direction and damaged by deep ploughing.",Legacy verification,NA,Annual agriculture,Pasture,42.31883148,26.61519642,4685248.395,468291.0384,3,East,2,30,NA,30,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(468291.038352 4685248.395125)
