identifier,uuid.x,createdBy,Date,Type,Type_Adela,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn,uuid.y
8169,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35360834,26.69529276,4689083.123,474905.0526,3,68,NA,South,NA,files/app/0b2aa79f-f377-47dc-b993-a54d1255dc97_image-1505473882630.original.jpg,2.5,60,NA,60,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Agriculture,NA,1 - full,Agriculture,Last year,NA,NA,NA,POINT(474905.05259 4689083.123248),1.00E+33
8170,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3429547,26.69110208,4687901.433,474555.6219,3,69,NA,Northeast,NA,files/app/7befae43-2ee7-42b9-a077-e04e4afcef57_image-1505474596646.original.jpg,0.4,45,NA,40,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(474555.621896 4687901.433237),1.00E+33
8172,1.00E+18,Bara Weissova,18-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.33427265,26.26795677,4687150.685,439692.0948,3,71,NA,West,NA,files/app/eb326b4f-4b76-4733-82a0-ea72af9f3e42_image-1505709307669.original.jpg,0,0,0,0,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(439692.094828 4687150.684865),10000215057099999e17
8173,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Legacy verification,Trnova mogila,Annual agriculture,Scrub,Valley Bottom or Plain,42.30242283,26.28358029,4683603.255,440949.4411,3,72,181.2,North,NA,files/app/d71b8abc-646f-4806-9630-51ec0ef90730_image-1505711684576.original.jpg,1,40,NA,35,NA,NA,NA,NA,No,NA,NA,1 - pristine,No observation,NA,1 - full,NA,NA,NA,NA,NA,POINT(440949.441092 4683603.254611),10000215057099999e17
8174,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Survey,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.30587417,26.21896581,4684033.321,435627.1082,3,75,NA,North,NA,files/app/8c884228-c17f-4f3e-a870-754ad7b71f2f_image-1505720661209.original.jpg,1.5,40,NA,30,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,4 - minimal,Agriculture,Unknown,NA,NA,NA,POINT(435627.108211 4684033.321224),10000215057200005e17
8175,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Survey,NA,Annual agriculture,Annual agriculture,"Valley Bottom or Plain well positioned, good view around",42.30596467,26.21922387,4684043.174,435648.47,3,76,NA,North,NA,files/app/30de28e4-551d-4080-8c3e-d5f9367e82cc_image-1505721119369.original.jpg,2,35,NA,30,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(435648.469981 4684043.174302),10000215057200005e17
8176,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Survey,elevation marker on top,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.30638583,26.21892651,4684090.163,435624.3907,3,77,NA,North,NA,files/app/fd3c784e-7039-434b-b142-aa4d6a22ad6b_image-1505721644558.original.jpg,4.5,45,NA,40,NA,NA,NA,the whole top is stripped - holes/RTs,No,NA,NA,3 - damaged,Looting,NA,2 - good,Looting,Unknown,NA,NA,files/app/0de4cb25-f870-41e5-8bad-08c4beb3361a_image-1505721561393.original.jpg - files/app/5db1c96d-6beb-4b96-9d5d-e426882749ee_image-1505721528050.original.jpg,POINT(435624.390742 4684090.162997),10000215057200005e17
8177,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Survey,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.30679874,26.21886562,4684136.057,435619.7929,3,78,NA,North,NA,files/app/9625eabb-20c0-476b-b0b5-ba37e2246eb2_image-1505721953401.original.jpg,1.8,55,NA,50,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Unknown,NA,NA,NA,POINT(435619.792949 4684136.056876),10000215057200005e17
8178,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Survey,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.30720414,26.21847367,4684181.368,435587.9017,3,79,NA,North,NA,files/app/04ab2a5e-2879-447d-a523-262e0900f25b_image-1505722305643.original.jpg,1.5,50,NA,45,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(435587.901749 4684181.367914),10000215057200005e17
8188,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,"Other (explain in notes) (mix of agriculture, pasture, and bush)",Valley Bottom or Plain,42.42587576,26.7024951,4697105.35,475526.3111,3,88,NA,West,"top mixture of agriculture, pasture and bush. concrete pole on top and elevation marker",BurialMound/Photo/8188_1.jpg,0.8,45,NA,40,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(475526.311091 4697105.349801),10000215058000003e17
8189,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42540049,26.70286788,4697052.47,475556.7923,3,89,NA,West,NA,BurialMound/Photo/8189_1.jpg,0.8,35,NA,30,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(475556.792311 4697052.469578),10000215058000003e17
8190,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42494002,26.7025868,4697001.422,475533.4902,3,90,NA,West,NA,BurialMound/Photo/8190_1.jpg,0.8,50,NA,40,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(475533.490248 4697001.421563),10000215058000003e17
8191,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42453055,26.70247797,4696955.986,475524.3785,3,91,NA,West,NA,BurialMound/Photo/8191_1.jpg,0.8,40,NA,35,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(475524.378548 4696955.985699),10000215058000003e17
8192,1.00E+18,Bara Weissova,19-Sep,Surface Scatter,Surface Scatter,Legacy verification,Surface scatter,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42543653,26.7020161,4697056.717,475486.7359,3,92,NA,East,NA,BurialMound/Photo/8192_1.jpg,0,0,NA,NA,NA,NA,Artefact scatter,NA,No,Roman,BurialMound/AssociatedFeatureOrMaterialPhoto/8192_2.jpg,0 - No observation,Agriculture,NA,No observation,Agriculture,Last week,NA,large\spread out scatter of pottery in ploughed areas. possibly connected to large necropolis,NA,POINT(475486.73588 4697056.716923),10000215058000003e17
8193,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40772245,26.69574904,4695091.625,474964.1386,3,93,NA,West,NA,BurialMound/Photo/8193_1.jpg,1.2,45,NA,40,NA,NA,Artefact scatter,iron age,No,NA,BurialMound/AssociatedFeatureOrMaterialPhoto/8193_2.jpg,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(474964.138554 4695091.624808),1.00E+33
8194,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.39545336,26.69486596,4693729.565,474886.5797,3,97,NA,North,NA,BurialMound/Photo/8194_1.jpg,1.3,25,NA,12,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Looting,NA,4 - minimal,Looting,Unknown,"01,half circle,25,13,1.2,eastern half of mound destroyed by machine; 02,square,1,0.2,manual excavation; 03, irregular, 4,2,1,manual excavation; 04, square, 1,0.5, manual excavation",NA,BurialMound/CRMPhotos/8194_2.jpg,POINT(474886.57969 4693729.564954),1.00E+33
8195,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Survey,SE part of mound agricultured,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.39607472,26.69563401,4693798.332,474950.0396,3,95,NA,North,NA,BurialMound/Photo/8195_1.jpg,2,35,NA,25,NA,NA,NA,stones from grave loose,No,NA,NA,3 - damaged,Looting,NA,4 - minimal,Looting,Unknown,"01,irregular,4.5,2,1,manual excavation; 02,irregular,5,3,1, manual excavation",NA,BurialMound/CRMPhotos/8195_3.jpg,POINT(474950.039631 4693798.332371),1.00E+33
8196,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Survey,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39170715,26.70793805,4693309.818,475961.022,3,96,NA,West,NA,BurialMound/Photo/8196_1.jpg,1.2,55,NA,50,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(475961.021972 4693309.817781),1.00E+33
8197,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Perennial agriculture (e.g orchard or vineyard),Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,42.39284757,26.72205854,4693432.549,477123.664,3,97,NA,West,NA,BurialMound/Photo/8197_1.jpg,1.2,40,NA,30,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(477123.66399 4693432.54893),1.00E+33
8198,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Scrub,Valley Bottom or Plain,42.39734534,26.71407036,4693934.147,476467.8664,3,98,NA,West,NA,BurialMound/Photo/8198_1.jpg,7,55,NA,55,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,4 - minimal,Looting,Last year,"01,rectangle,4,2,8, uneven surface soil from RT?",NA,BurialMound/CRMPhotos/8198_2.jpg,POINT(476467.866428 4693934.147483),1.00E+33
8199,1.00E+18,Bara Weissova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39793391,26.71351177,4693999.655,476422.1142,3,99,NA,West,NA,BurialMound/Photo/8199_1.jpg,2,60,NA,55,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(476422.114238 4693999.654638),1.00E+33
8200,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Forest,Forest,Hilltop,42.27421933,26.58221865,4680307.703,465549.2602,3,100,NA,East,NA,BurialMound/Photo/8200_1.jpg,0.5,10,NA,10,NA,NA,Artefact scatter,fragment of a tile,No,Hellenistic,BurialMound/AssociatedFeatureOrMaterialPhoto/8200_2.jpg,5 - extinct or near extinct,Looting,NA,5- none or nearly none,Agriculture,Unknown,"01, circle,4,8,1, manual excavation of almost entire mound; 02, rectangle,5,2,0.4, off main site of mound",only U shape margin of the mound left after looting,BurialMound/CRMPhotos/8200_2.jpg,POINT(465549.260162 4680307.703443),10000215058899998e17
8201,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Surface Scatter,Legacy verification,NA,Forest,Forest,NA,42.27997579,26.60231899,4680938.935,467209.745,3,101,NA,North,"overgrown, impossible to be pictured in a better way",BurialMound/Photo/8201_2.jpg,8,45,NA,45,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,1 - full,Looting,Last year,"01, rectangle,2.5,1.5,2.5, manual excavation",NA,NA,POINT(467209.744995 4680938.934936),10000215058899998e17
8202,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Forest,Scrub,Hilltop,42.28059626,26.60167666,4681008.076,467157.1041,96,102,NA,East,impossible to make better photo,BurialMound/Photo/8202_1.jpg,5,45,NA,45,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,2 - good,Unknown,Unknown,"01, rectangle,8,4,1, manual excavation; 02, rectangle,5,6,1, manual excavation; 03, square, 1.5,1, manual excavation",NA,BurialMound/CRMPhotos/8202_2.jpg,POINT(467157.104138 4681008.075674),10000215058899998e17
8203,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.28128901,26.61004932,4681081.8,467847.8076,3,103,NA,Northwest,NA,BurialMound/Photo/8203_1.jpg,1.8,50,NA,45,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(467847.807585 4681081.799989),10000215058899998e17
8204,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Scrub,Valley Bottom or Plain,42.3341879,26.57512027,4686969.212,464997.1528,3,104,NA,Southeast,NA,BurialMound/Photo/8204_1.jpg,1.2,30,NA,20,NA,NA,NA,NA,No,NA,NA,3 - damaged,Looting,NA,3 - impaired,Unknown,Unknown,"01, irregular,1,1.5, manual excavation",NA,BurialMound/CRMPhotos/8204_1.jpg,POINT(464997.152764 4686969.212456),10000215058899998e17
8205,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.33804656,26.58438807,4687393.89,465762.7564,3,10,NA,South,NA,BurialMound/Photo/8205_1.jpg,1.5,20,NA,20,NA,NA,NA,NA,No,NA,NA,3 - damaged,Other,NA,4 - minimal,Not available,Unknown,"01,half circle,5,12,1.5,housed tank during the war",(hiding place for a tank during war ),BurialMound/CRMPhotos/8205_2.jpg,POINT(465762.756412 4687393.890191),1.00E+33
8206,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,"elevation marker on the top, Dyadodinkovata mogila",Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.36519229,26.61280912,4690396.994,468117.7488,3,105,NA,East,NA,BurialMound/Photo/8206_1.jpg,2.3,60,NA,60,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,3 - impaired,Looting,Unknown,"01, rectangle,12,4,1, manual excavation",NA,BurialMound/CRMPhotos/8206_2.jpg,POINT(468117.748752 4690396.993875),1.00E+33
8207,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,Trapezanskata mogila,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.36487989,26.58921629,4690371.422,466174.8864,3,106,158.5,West,NA,BurialMound/Photo/8207_1.jpg,1.8,60,NA,50,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(466174.886424 4690371.421651),1.00E+33
8208,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.36880268,26.55643615,4690820.555,463477.9431,3,107,NA,Northeast,NA,BurialMound/Photo/8208_1.jpg,1.9,60,NA,60,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(463477.943071 4690820.554936),1.00E+33
8209,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,elevation marker on top. some sort of house construction in side of mound. bed on top of the house. newspaper dated year 2000,Pasture (grassland),Pasture (grassland),Hilltop,42.35735993,26.52591563,4689563.557,460957.8623,3,108,NA,South,second picture facing North,BurialMound/Photo/8209_2.jpg,3.5,30,NA,20,NA,measurements not including house,NA,NA,No,NA,NA,3 - damaged,Construction,NA,2 - good,Unknown,Unknown,"01, rectangle,3,1.5,0.4, manual excavation",NA,BurialMound/CRMPhotos/8209_1.jpg,POINT(460957.862319 4689563.557269),10000215059099998e17
8210,1.00E+18,Bara Weissova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Hilltop,42.36612463,26.52467306,4690537.327,460860.9732,3,209,NA,Northeast,NA,BurialMound/Photo/8210_1.jpg,1.2,20,NA,15,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,3 - impaired,Looting,Unknown,"01, rectangle,2,1,0.4, manual excavation",NA,BurialMound/CRMPhotos/8210_2.jpg,POINT(460860.973195 4690537.327499),10000215059099998e17
8211,1.00E+18,Adela Sobotkova,21-Sep,Burial Mound,Burial Mound,Legacy verification,"on the top of a hilltop, overgrown with a semidense scrub",Scrub,Scrub,Hilltop,42.38519435,26.2629399,4692808.431,439327.7987,3,110,257.8,North,NA,BurialMound/Photo/8211_1.jpg,1.4,25,NA,25,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,4 - minimal,Looting,Unknown,"[01,Tshape,5,2.6,1.2]",NA,BurialMound/CRMPhotos/8211_2.jpg,POINT(439327.798732 4692808.430743),10000115059799999e17
8212,1.00E+18,Adela Sobotkova,21-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,"inside of an army object, guard claims there is nothing",Other (explain in notes),Other (explain in notes),Hilltop,42.34646977,26.30636251,4688478.495,442867.1332,3,NA,NA,South,NA,BurialMound/Photo/8212_1.jpg,0,0,0,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,Construction,NA,5- none or nearly none,Urban development,Other,NA,NA,NA,POINT(442867.133206 4688478.495105),1.00E+33
8213,1.00E+18,Adela Sobotkova,21-Sep,Burial Mound,Burial Mound,Legacy verification,Lozenski bair,Forest,Scrub,Hilltop,42.33795169,26.32236579,4687522.054,444177.7466,3,111,295.1,Northwest,only top of the mound enables view to the valley,BurialMound/Photo/8213_1.jpg,1.2,25,NA,20,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,4 - minimal,Looting,Unknown,"[01,rectangular,3,2.1,1.5,three quartz stones lined in NS direction in RT]",NA,BurialMound/CRMPhotos/8213_2.jpg,POINT(444177.746646 4687522.053631),1.00E+33
8214,1.00E+18,Adela Sobotkova,21-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Forest,Forest,Upper slope,42.34869112,26.3337824,4688707.091,445127.57,3,112,NA,West,NA,BurialMound/Photo/8214_1.jpg,0.4,40,NA,35,NA,NA,NA,NA,No,NA,NA,1 - pristine,No observation,NA,1 - full,NA,NA,NA,NA,NA,POINT(445127.570008 4688707.091127),10000115059999996e17
8215,1.00E+18,Adela Sobotkova,21-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Forest,Forest,Upper slope,42.34896265,26.33332398,4688737.536,445090.0485,3,113,NA,North,NA,BurialMound/Photo/8215_1.jpg,0,0,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,No observation,NA,5- none or nearly none,Not available,Other,NA,NA,NA,POINT(445090.048491 4688737.536079),10000115059999996e17
8216,1.00E+18,Bara Weissova,21-Sep,Surface Scatter,Surface Scatter,Legacy verification,NA,Annual agriculture,Annual agriculture,Upper slope,42.34833264,26.33221242,4688668.301,444997.9468,3,NA,NA,South,NA,BurialMound/Photo/8216_1.jpg,0,0,NA,0,NA,NA,Artefact scatter,"density equals 1sherd per 2 sq. meters, approx. 200 per 150 meters",No,NA,BurialMound/AssociatedFeatureOrMaterialPhoto/8216_2.jpg,0 - No observation,Agriculture,NA,No observation,Agriculture,Last month,NA,NA,NA,POINT(444997.94682 4688668.301012),10000215059999997e17
8217,1.00E+18,Bara Weissova,21-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Lower slope,42.34716544,26.33153574,4688539.137,444941.1933,3,118,NA,North,NA,BurialMound/Photo/8217_1.jpg,0.4,20,NA,20,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,No observation,NA,5- none or nearly none,Not available,Unknown,NA,NA,NA,POINT(444941.193321 4688539.137084),10000215059999997e17
8218,1.00E+18,Bara Weissova,28-Sep,Surface Scatter,Surface Scatter,Survey,scatter still visible at GPS 119,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.397635,26.32391833,4694148.075,444358.342,1.3,116,NA,North,NA,BurialMound/Photo/8218_1.jpg,0,0,NA,NA,NA,NA,Artefact scatter,NA,Yes,"Iron Age, Roman",BurialMound/AssociatedFeatureOrMaterialPhoto/8218_2.jpg,0 - No observation,Agriculture,NA,No observation,Agriculture,Last month,NA,NA,NA,POINT(444358.342 4694148.075082),10000215065899998e17
8219,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Legacy verification,very good view from the mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.393525,26.32656833,4693689.98,444572.8217,1.1,117,NA,West,NA,BurialMound/Photo/8219_1.jpg,1.9,45,NA,42,NA,NA,Artefact scatter,connected with the site 8217?,No,Iron Age,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(444572.821711 4693689.980063),10000215065899998e17
8220,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Survey,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39375833,26.32707167,4693715.561,444614.4542,1.4,118,NA,North,NA,BurialMound/Photo/8220_1.jpg,0.4,50,NA,45,NA,NA,Artefact scatter,NA,No,Roman,BurialMound/AssociatedFeatureOrMaterialPhoto/8220_2.jpg,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(444614.454195 4693715.560562),10000215065899998e17
8221,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.435645,26.395095,4698324.456,450246.2741,1,120,NA,North,NA,BurialMound/Photo/8221_1.jpg,1.2,25,NA,22,NA,NA,Loose artefacts,Ottoman?,No,NA,BurialMound/AssociatedFeatureOrMaterialPhoto/8221_2.jpg,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(450246.274122 4698324.45555),10000215065899998e17
8222,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.423895,26.39993833,4697016.935,450635.4226,1.2,121,NA,Northwest,NA,BurialMound/Photo/8222_1.jpg,0.8,30,NA,26,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(450635.422612 4697016.935204),10000215065899998e17
8223,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Legacy verification,destroyed elevation marker on top,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.41240333,26.39289667,4695745.046,450047.0116,1.1,122,NA,East,NA,BurialMound/Photo/8223_1.jpg,1,34,NA,31,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(450047.011593 4695745.045675),1.00E+33
8224,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40343167,26.43246833,4694726.345,453296.3578,1.1,123,162.5,South,NA,BurialMound/Photo/8224_1.jpg,0.6,21,NA,20,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(453296.357839 4694726.344525),1.00E+33
8225,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Legacy verification,large elevation marker on top,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42727833,26.45698,4697361.033,455330.4189,0.8,124,166.1,South,NA,BurialMound/Photo/8225_1.jpg,1.6,51,NA,48,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,dirt road crossing the mound,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(455330.418921 4697361.032856),1.00E+33
8226,1.00E+18,Bara Weissova,28-Sep,Burial Mound,Burial Mound,Legacy verification,destroyed elevation market on top,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.443635,26.42127667,4699196.639,452405.7829,1.2,125,159.4,South,NA,BurialMound/Photo/8226_1.jpg,1.3,32,NA,30,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(452405.78293 4699196.638979),1.00E+33
8304,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,"mound in ploughed field,dry limestone extrusion on SE side, ploughed up and lighter colour than the surrounding",Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.40607583,26.24816852,4695137.707,438132.3789,3,3,NA,Southeast,slr#49,files/app/11548b99-6dc2-414e-8578-40ea3fb8d1df_image-1505103936752.original.jpg,1.4,13,NA,12,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,ploughed up sprawling mound,NA,POINT(438132.378925 4695137.707434),10000115051000003e17
8305,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.40297633,26.24696348,4694794.425,438030.1664,3,4,NA,Southwest,slr#050,files/app/80354079-819c-44a7-903a-b34899a80c10_image-1505104838654.original.jpg,0.7,22,NA,16,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(438030.166351 4694794.424591),10000115051000003e17
8306,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,lozenge shaped near extinct mound,Annual agriculture,Scrub,Hilltop,42.40246734,26.24735842,4694737.62,438062.1668,3,5,NA,Northwest,slr#51-52,files/app/3464a5ce-ea15-4913-b89d-57f91767c50f_image-1505105350825.original.jpg,1,22,NA,7,NA,"short dimension refers to scrubby area only, mound extends into the ploughed field",Other,"field stones of small size piled on top, some
e concrete markers and other modern refuse",No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(438062.166823 4694737.619986),1.00E+33
