TRAP,TopoID,BLG_Name,Source,SomethingPresentOntheGround,Notes,Date,Excav,Certainty,Length,Width,Height,RT_number,CRM,Necropolis,Landuse_AroundRS,Landuse_TopRS,
9169,0,0,GC,mound,Necropolis Bezmer,4-Nov,NO,CR,40,35,2.5,1,2,"9168, 9170, 9171, 9172, 9173, 9174, 9175, 9176  ",Pasture,Pasture,
9170,200174,0,TOPO50,mound,"Ploughed over at some point. Necropolis, Bezmer",4-Nov,NO,CR,50,50,0.8,None,5,"9168, 9169, 9171, 9172, 9173, 9174, 9175, 9176  ",Annual agriculture,Pasture,
9171,200173,0,TOPO50,mound,"Necropolis, Bezmer",4-Nov,NO,CR,40,40,2,None,4,"9168, 9169,9170, 9172, 9173, 9174, 9175, 9176  ",Annual agriculture,Pasture,
9172,0,0,GC,mound,Necropolis Bezmer,4-Nov,NO,CR,30,30,3,1,5,"9168, 9169,9170, 9171, 9173, 9174, 9175, 9176  ",Annual agriculture,Pasture,
9173,0,0,GC,mound,Necropolis Bezmer,4-Nov,NO,CR,25,25,2.5,None,2,"9168, 9169,9170, 9171, 9172, 9174, 9175, 9176  ",Annual agriculture,Pasture,
9174,0,0,GC,mound,Necropolis Bezmer,4-Nov,NO,CR,35,35,2.5,1,3,"9168, 9169,9170, 9171, 9172, 9173, 9175, 9176  ",Annual agriculture,Pasture,
9175,200175,0,TOPO50,mound,"Necropolis, Bezmer",4-Nov,NO,CR,40,40,5,None,1,"9168, 9169,9170, 9171, 9172, 9173, 9174, 9176  ",Annual agriculture,Pasture,
9176,200176,excavated spot remains,TOPO50,nothing,,4-Nov,?,UN,40,40,4 acc to topomap,None,5,"9168, 9169,9170, 9171, 9172, 9173, 9174, 9175",Annual agriculture,Pasture,
9177,200177,0,TOPO50,mound,"robers trench 4x3x1.5 and 1/4 of mound taken by fencing, also a marker on top. ",4-Nov,NO,CR,45,45,1.7,1,4,,Pasture,Pasture,
9178,0,0,GC,mound,totally ploughed,4-Nov,NO,CR,50,50,0.4,None,5,0,Annual agriculture,Annual agriculture,
9179,0,0,GC,mound,"soil partly removed from the Western part, bioturbation",4-Nov,NO,CR,50,50,5,None,2,0,Annual agriculture,Pasture,
9180,0,0,GC,mound,,4-Nov,NO,CR,40,40,3,None,2,0,Annual agriculture,Pasture,
9181,0,0,GC,mound,"upper part leveled, lot of nut trees growing on the mound",4-Nov,NO,CR,60,60,4,None,2,0,Pasture,Pasture,
9182,0,0,TOPO50,mound,0,,NO,CR,25,25,1.8,None,5,"9183, 9184, 9185, 9186, 9187, 9188, 9189",Annual agriculture,Annual agriculture,
9183,200554,0,TOPO50,mound,0,,NO,CR,20,20,1.2,None,5,"9182, 9184, 9185, 9186, 9187, 9188, 9189",Annual agriculture,Annual agriculture,
9184,0,0,TOPO50,mound,0,,NO,CR,35,35,1.5,None,5,"9182, 9183, 9185, 9186, 9187, 9188, 9189",Annual agriculture,Annual agriculture,
9185,0,0,TOPO50,mound,,,NO,CR,30,30,1.5,None,5,"9182, 9183, 9184, 9186, 9187, 9188, 9189",Annual agriculture,Annual agriculture,
9186,0,0,TOPO50,mound,,,NO,CR,20,20,1.5,None,5,"9182, 9183, 9184, 9185, 9187, 9188, 9189",Annual agriculture,Annual agriculture,
9187,0,0,TOPO50,mound,,,NO,CR,25,25,1,None,5,"9182, 9183, 9184, 9185, 9186, 9188, 9189",Annual agriculture,Annual agriculture,
9188,200638,0,TOPO50,mound,stone on the top,,NO,CR,30,20,1.8,None,5,"9182, 9183, 9184, 9185, 9186, 9187, 9189",Annual agriculture,Annual agriculture,
9189,200555,0,TOPO50,mound,0,,NO,CR,30,30,1.5,None,5,"9182, 9183, 9184, 9185, 9186, 9187, 9188",Annual agriculture,Annual agriculture,
9190,200238,0,TOPO50,mound,bioturbation,,NO,CR,35,25,1.5,2,5,0,Annual agriculture,Pasture,
9191,200239,0,TOPO50,mound,road goes through the middle of the mound,,NO,CR,40,40,2,None,5,0,Annual agriculture,Other,
9192,200240,0,TOPO50,mound,ploughed over,,NO,CR,40,40,1,None,5,0,Annual agriculture,Annual agriculture,
9193,200242,0,TOPO50,mound,0,,NO,CR,45,45,2.5,None,1,0,Pasture,Pasture,
9194,200882,0,TOPO50,mound,0,,NO,CR,40,40,2,None,1,0,Annual agriculture,Annual agriculture,
9195,200245,0,TOPO50,mound,road on top in GEPro,,NO,CR,40,40,1.5,None,2,0,Annual agriculture,Other,
9196,200246,0,TOPO50,mound,huge trench going through the mound,,NO,CR,35,35,4,1,5,0,Pasture,Pasture,
9197,200248,0,TOPO50,mound,0,,NO,CR,25,25,0.8,None,5,0,Annual agriculture,Annual agriculture,
9198,200249,0,TOPO50,mound,"crossed by road, ditch in the South",,NO,CR,20,20,1,1,3,0,Pasture,Other,
9199,200224,0,TOPO50,mound,0,,NO,CR,40,40,1.5,None,5,0,Annual agriculture,Annual agriculture,
9200,200889,0,TOPO50,mound,Large biotorbation on top of mound. Trench is old.,4-Nov,NO,CR,40,40,4,1,2,check,Annual agriculture,Pasture,
9201,200550,0,TOPO50,mound,Trench is old. Biotorbation on the eastern side of the mound.,4-Nov,NO,CR,40,40,5,1,2,check,Annual agriculture,Pasture,
9202,200888,0,TOPO50,mound,Trenches are old,4-Nov,NO,CR,50,50,4.5,4,2,check,Pasture,Pasture,
9203,200551,Tirnova mogila,TOPO50,mound,Eastern side of mound destroyed by mashinery.,4-Nov,NO,CR,50,50,6,1,5,check,Annual agriculture,Pasture,
9204,200560,Trinova mogila,TOPO50,mound,Mound totally destroyed by mashinery. Large wind-power generator in the southeastern margin.,4-Nov,NO,CR,25,25,2,None,5,check,Annual agriculture,Pasture,
9205,0,0,GC,mound,"overplowed, pottery scatter",4-Nov,NO,CR,35,35,1.7,None,5,check,Annual agriculture,Annual agriculture,
9206,200553,0,TOPO50,mound,Biotorbations on top.,4-Nov,NO,CR,40,40,7,1,1,check,Pasture,Pasture,strip of pasture in agr. fields
9207,200552,0,TOPO50,mound,,4-Nov,NO,CR,30,30,3,None,3,check,Pasture,Pasture,
9208,200559,0,TOPO50,mound,ploughed over,4-Nov,NO,CR,20,20,1.5,None,5,check,Annual agriculture,Annual agriculture,soilmark
9209,0,0,GC,mound,ploughed over,4-Nov,NO,CR,30,30,1.5,None,5,check,Annual agriculture,Annual agriculture,
9210,200557,0,TOPO50,mound,ploughed over,4-Nov,NO,CR,20,20,1.5,None,5,check,Annual agriculture,Annual agriculture,
9211,0,0,GC,mound,,4-Nov,NO,CR,30,30,2.5,None,1,check,Pasture,Pasture,
9212,0,0,TOPO50,mound,Trench is old.,4-Nov,NO,CR,40,40,2,1,3,check,Pasture,Pasture,
9213,200558,0,GC,mound,Circular enclosure around mound. Maybe source of material.,4-Nov,NO,CR,35,35,4,None,1,check,Annual agriculture,Pasture,
9214,200256,0,TOPO50,mound,Concrete structure built on top of the mound. Probably related to water supply. Deep foundations. Probably piping.,4-Nov,NO,CR,40,40,5,None,5,check,Annual agriculture,Pasture,
9215,200237,0,TOPO50,mound,ploughed over,4-Nov,NO,CR,25,25,1,None,5,check,Annual agriculture,Annual agriculture,
9216,200241,0,TOPO50,mound,,4-Nov,NO,CR,49,40,5,2,2,check,Annual agriculture,Pasture,
9217,0,0,GC,mound,overplowed.,4-Nov,NO,CR,25,25,1.8,None,5,check,Annual agriculture,Annual agriculture,
9218,200243,0,TOPO50,mound,"large biotorbations (supposedly badgers). At least one cremation burial destroyed by animals. Dense scatters of pottery, daub, charred bones. Size of daub bricks: 7x11x16 cm. Three samples taken: from western, eastern and northern hole.",4-Nov,NO,CR,50,50,8,None,3,check,Pasture,Pasture,
9219,0,0,GC,mound,Large single dich visible to the north of the mound. Traces of stone extraction. Disrupted terrain.,4-Nov,NO,CR,25,25,3,1,3,check,Pasture,Pasture,
9220,200230,0,TOPO50,mound,,4-Nov,NO,CR,30,30,3,None,1,check,Pasture,Pasture,
8345,200225,DOESN'T EXIST,TOPO50,nothing,"site eliminated before 2003? Also marked as 9221 by Petra T. in 2010 and 8345 in 2017, both extinct mound, double marked in TRAP; satimg 2007/02/03 shows the other mounds real well, but nothing here. Locale eliminated by quarry.",4-Nov,,,NA,NA,2 acc to topomap,NA,5,,Pasture,Pasture,
9222,200226,0,TOPO50,mound,excavated 2018,4-Nov,NO,CR,20,20,2,1,3,check,Pasture,Pasture,
9223,0,0,GC,mound,excavated 2018,4-Nov,NO,0,15,15,1.5,1,4,check,Pasture,Pasture,
9224,0,0,GC,mound,,4-Nov,NO,0,20,20,1.5,None,3,check,Pasture,Pasture,
9225,200227,0,TOPO50,mound,,4-Nov,NO,CR,15,15,1,None,2,check,Pasture,Pasture,
9226,200228,0,TOPO50,mound,,4-Nov,NO,CR,20,20,1.5,1,3,check,Pasture,Pasture,
9227,0,0,GC,mound,Whole southern part of mound destroyed by excavators. On top of the mound is a shaft 2x1x3 m. Visible stratigraphy.,4-Nov,NO,CR,35,35,4,1,5,check,Pasture,Pasture,
9228,200327,0,TOPO50,mound,Overploughed and road crossing,5-Nov,NO,CR,20,20,2,None,5,0,Annual agriculture,Annual agriculture,
9229,200378,0,TOPO50,mound,,6-Nov,NO,CR,50,50,1,1,3,0,Forest,Forest,
9230,200326,0,TOPO50,mound,was pasture until 2010,5-Nov,NO,CR,25,30,2,1,4,0,Annual agriculture,Pasture,change from 2009
9231,200335,0,TOPO50,mound,Made of stones,5-Nov,NO,CR,15,15,0.5,1,5,0,Forest,Forest,
9232,200338,0,TOPO50,mound,Made of stones,5-Nov,NO,CR,20,15,1.5,1,4,0,Forest,Forest,
9233,200334,0,TOPO50,mound,Several large RT:s. Inside vissible stone structure,5-Nov,NO,CR,25,25,1.5,3,5,0,Forest,Forest,
9234,200333,0,TOPO50,mound,Western poart ploughed,5-Nov,NO,CR,15,20,0.5,None,5,0,Annual agriculture,Annual agriculture,
9235,200340,0,TOPO50,mound,"Inner structure destoyed, vissible stratigraphy,repeated layers of ashe and chauk",5-Nov,NO,CR,35,40,3.5,3,5,0,Forest,Forest,
9236,200371,0,TOPO50,mound,"RT  south side 1/3 of mound removed, anny possible inner structure destroyed, vissible stratigraphy",5-Nov,NO,CR,30,30,2,1,5,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9237,0,0,GC,mound,RT:s on top,5-Nov,NO,CR,15,15,1.5,1,4,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9238,0,0,GC,mound,"Old RT on top, filled back",5-Nov,NO,CR,25,25,2,1,4,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9239,200373,0,TOPO50,mound,Geodetic point (1985),5-Nov,NO,CR,20,20,1.5,1,4,"9236, 9237, 9238, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9240,200372,0,TOPO50,mound,,5-Nov,NO,CR,35,35,3,2,4,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9241,0,0,GC,mound,,5-Nov,NO,CR,15,15,0.5,2,4,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9242,0,0,GC,mound,,5-Nov,NO,CR,10,10,0.5,None,2,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9243,0,0,GC,mound,"NE 1/2 mound destroyed, an old RT ",5-Nov,NO,CR,25,25,2,1,5,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9244,0,0,GC,mound,Low mound destroyed by RT,5-Nov,NO,CR,20,15,0.5,1,5,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9245,200374,0,TOPO50,mound,Marker on top,5-Nov,NO,CR,30,30,3,1,4,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9246,0,0,GC,mound,RT:s on top,5-Nov,NO,CR,20,20,2,1,4,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9247,200375,0,TOPO50,mound,With credis,5-Nov,NO,CR,35,35,4,1,2,"9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9346",Scrub,Scrub,
9248,200395,0,TOPO50,mound,Geoditic point on top,6-Nov,NO,CR,20,30,2.5,None,2,,Annual agriculture,Pasture,island
9249,0,0,GC,mound,,6-Nov,NO,CR,15,15,2,1,3,,Pasture,Pasture,island
9250,200379,0,TOPO50,mound,,6-Nov,NO,CR,30,30,3,1,2,,Scrub,Pasture,
9251,200394,0,TOPO50,mound,"South side partly minning, old RT? Anny possible grave structure probably destroyed ",6-Nov,NO,CR,30,30,2,1,4,0,Annual agriculture,Annual agriculture,
9252,200381,0,TOPO50,mound,,6-Nov,NO,CR,30,30,3,1,4,"9252, 9253, 9254",Forest,Forest,
9253,0,0,GC,mound,some undatable pottery,6-Nov,NO,CR,25,25,3,1,5,"9252, 9253, 9254",Forest,Forest,
9254,0,0,GC,mound,,6-Nov,NO,CR,20,20,0.5,1,5,"9252, 9253, 9254",Forest,Forest,
9255,200380,0,TOPO50,mound,Ploughed over,6-Nov,NO,CR,25,25,1.7,None,5,,Annual agriculture,Annual agriculture,
9256,200383,0,TOPO50,mound,Main part ploughed over less than 1/3 of  the maound is meadow,6-Nov,NO,CR,35,35,1,1,5,0,Annual agriculture,Annual agriculture,lozenge in the middle
9257,200236,0,TOPO50,mound,0,7-Nov,NO,CR,30,30,2.5,1,3,0,Annual agriculture,Pasture,
9258,200234,0,TOPO50,mound,"Over ploughed, road crossing",,NO,CR,20,20,2.5,None,5,0,Annual agriculture,Annual agriculture,
9259,200233,0,TOPO50,mound,"RT S side. S side also military structure, tank hide out, soil taken from mound?",,NO,CR,30,30,2,1,5,0,Pasture,Pasture,
9260,0,,GC/TOPO,bunker,"Destroyed by military activity and RTs, the mound is now a bunker with earthen mantle. old contents demolished.near TOPO 200233",,NO,CR,40,40,5,2,5,0,Pasture,Pasture,
9261,200301,0,TOPO50,mound,RT recentley backfilled,,NO,CR,35,40,3,1,4,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9262,0,0,GC,mound,"Over ploughed stratigraphy, lighter soil on surface ",,NO,CR,30,30,1.5,None,5,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Annual agriculture,Annual agriculture,
9263,0,0,GC,mound,Old RTs,,NO,CR,30,30,3,2,2,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Annual agriculture,Pasture,
9264,200302,"near TOPO 200302,",GC/TOPO,mound,"near TOPO 200302,offset to NW",,NO,CR,30,30,2.5,1,3,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Annual agriculture,Pasture,
9265,0,0,GC,mound,,,NO,CR,30,30,2.5,1,2,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Annual agriculture,Pasture,
9266,0,0,GC,mound,,,NO,CR,30,30,2,1,2,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9267,0,0,GC,mound,"West side 1/3 of the mound removed, trace of digging",,NO,CR,20,20,1,None,5,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9268,0,0,GC,mound,Ploughed over at some point. Mound barley vissible in the meadow.,,NO,CR,35,35,1,None,5,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9269,0,0,GC,mound,"Possible mound, low round earth work",,NO,UN,40,40,1,None,5,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9270,0,0,GC,mound,,,NO,CR,20,20,1.5,None,2,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9271,200304,,GC/TOPO,mound,"Over ploughed at some point, spatial error: ca 80m West of TOPOgraphic symbol no.200304 ",,NO,CR,20,20,1,1,5,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9272,200305,Dyadoradeva mogila,TOPO50,mound,"N side large trench, parte of a ditch runing over the mound in NE-SE direction",,NO,CR,40,25,2.5,1,4,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Pasture,Pasture,
9273,200300,0,TOPO50,mound,,,NO,CR,25,25,2.5,1,3,"9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273",Annual agriculture,Pasture,
9274,200292,Mondadzhiiskata mogila,TOPO50,mound,,,NO,CR,45,45,5,None,1,"9274, 9275, 9276, 9277,9278",Pasture,Pasture,
9275,0,0,GC,mound,Over ploughed,,NO,CR,20,20,0.5,None,5,"9274, 9275, 9276, 9277,9278",Annual agriculture,Annual agriculture,
9276,200291,0,TOPO50,mound,"TopoID verified to be 200291 in GEarth(AS 2020) after it was wrongly labeled 200297, probably conflation of US 1 and Eu 7 ? Beware",,NO,CR,25,25,0.7,None,5,"9274, 9275, 9276, 9277,9278",Annual agriculture,Annual agriculture,
9277,0,0,GC,mound,Over ploughed,,NO,CR,25,25,1.2,None,5,"9274, 9275, 9276, 9277,9278",Annual agriculture,Annual agriculture,
9278,0,0,GC,mound,Over ploughed at some point,,NO,CR,30,30,1,None,5,"9274, 9275, 9276, 9277,9278",Pasture,Pasture,
9279,200296,0,TOPO50,mound,Over ploughed,,NO,CR,40,40,2,None,5,0,Annual agriculture,Annual agriculture,
9280,200298,0,TOPO50,mound,,,NO,CR,30,30,5,None,2,0,Pasture,Pasture,
9281,200299,0,TOPO50,mound,Old RT probably backfilled,,NO,CR,40,40,4,1,2,0,Pasture,Pasture,
9282,200341,0,TOPO50,mound,Large ditch dug through mound (W-E direction) concrete structure  (well) on top.,,NO,CR,15,14,0.5,1,5,0,Scrub,Scrub,
9283,200345,0,TOPO50,mound,Over ploughed,,NO,CR,40,40,2,None,5,0,Annual agriculture,Annual agriculture,
9284,0,0,GC,mound,Over ploughed,,NO,CR,30,30,1.5,None,5,0,Pasture,Pasture,
9285,0,0,GC,mound,Over ploughed,,NO,CR,30,35,2,None,5,0,Annual agriculture,Annual agriculture,
9286,200939,0,GC,mound,Geodetic point on top,,NO,CR,40,30,7,2,2,0,Annual agriculture,Scrub,
9287,200366,,TOPO50,mound,One fresh TR and one backfilled,,NO,CR,30,30,2.5,None,2,0,Scrub,Scrub,
9288,0,0,GC,mound,RT probably back filled; excavated (bright exposed soil circle visible in 2018),,NO,CR,25,25,1,1,5,0,Annual agriculture,Annual agriculture,excavated recently
9289,0,0,GC,mound,Over ploughed,,NO,CR,20,20,0.5,None,5,0,Annual agriculture,Annual agriculture,
9290,0,0,GC,mound,Over ploughed,,NO,CR,20,20,0.8,None,5,0,Annual agriculture,Annual agriculture,
9291,200348,0,TOPO50,mound,"SW margin of mound has been duged, old trench",,NO,CR,35,35,2.5,None,3,0,Scrub,Scrub,
9292,200349,0,TOPO50,mound,Over ploughed,,NO,CR,20,15,0.5,None,5,0,Annual agriculture,Annual agriculture,
9293,200350,0,TOPO50,mound,"Over ploughed, dirtroad goin through the middle",,NO,CR,30,30,1,None,5,0,Annual agriculture,Annual agriculture,
9300,200247,0,TOPO50,mound,"ploughed over, mediaval scatter around",5-Nov,NO,CR,40,40,0.4,None,5,0,Annual agriculture,Annual agriculture,
9301,200219,0,TOPO50,mound,0,5-Nov,NO,CR,25,25,0.5,None,5,0,Annual agriculture,Annual agriculture,
9302,200108,0,TOPO50,mound,pipe in the middle of the mound.Piles of stones from the field next to it.,6-Nov,NO,CR,20,10,0.5,None,5,0,Annual agriculture,Pasture,
9303,200107,0,TOPO50,mound,Pile of stones in the middle.roud going throught the mound.,6-Nov,NO,CR,30,20,1,None,4,0,Annual agriculture,Pasture,
9304,200201,0,TOPO50,mound,part of the mound is cut off by huge pool- used earlier for the rice plantation.,6-Nov,NO,CR,35,25,1.5,None,2,0,Pasture,Pasture,
9305,200013,0,TOPO50,mound,stones of the top,6-Nov,NO,CR,25,25,1.8,1,3,0,Scrub,Scrub,
9306,200880,0,TOPO50,mound,0,6-Nov,NO,CR,30,30,2.5,2,3,0,Scrub,Scrub,
9307,200028,0,TOPO50,mound,scrubs on the top,6-Nov,NO,CR,30,30,3.1,None,1,0,Annual agriculture,Scrub,feature 30 m to south
9308,200033,0,TOPO50,mound,bioturbations,6-Nov,NO,CR,45,45,4.5,None,1,0,Annual agriculture,Pasture,
9309,200032,0,TOPO50,mound,"old rt's from the south, hard to say how many.",6-Nov,NO,CR,50,50,5,None,2,0,Annual agriculture,Pasture,
9310,200031,0,TOPO50,mound,"looks like dug out, that was put back.Earth is upside down.Lots of bioturbations. crosscutting trenches visible in sat img.",6-Nov,NO,CR,60,60,5,None,3,0,Annual agriculture,Pasture,
9311,200038,0,TOPO50,mound,chanel around the mound,6-Nov,NO,CR,30,30,3,2,4,0,Scrub,Pasture,
9312,200037,0,TOPO50,mound,"lots of scrub on the mound, stones on the top",6-Nov,NO,CR,40,35,4,2,3,0,Annual agriculture,Pasture,
9313,200036,0,TOPO50,mound,"Ploughed over, with roud going throught it. (AS20200628 no road in sat img since 2008, note incorrect)",6-Nov,NO,CR,30,30,0.5,None,5,0,Annual agriculture,Annual agriculture,
9314,200022,0,TOPO50,mound,20 m north from the mound a big RT,7-Nov,NO,CR,30,30,2,3,5,,Scrub,Scrub,
9315,200023,0,TOPO50,mound,covered by scrub,,NO,CR,20,20,1,2,2,,Pasture,Scrub,
9316,200881,0,TOPO50,mound,,,NO,CR,30,30,2,2,2,,Pasture,Pasture,
9317,0,0,GC,mound,,,NO,CR,20,20,1.5,None,1,,Pasture,Pasture,
9318,0,0,GC,mound,,,NO,CR,25,25,0.5,1,5,,Pasture,Pasture,
9319,200026,0,TOPO50,mound,plughed over,,NO,CR,15,15,1,None,3,,Annual agriculture,Annual agriculture,
9320,200030,0,TOPO50,mound,"concrete pile on the top, surrounded by grass in lozenge",,NO,CR,30,15,0.5,None,4,,Annual agriculture,Pasture,
9321,200930,0,TOPO50,mound,,,NO,CR,40,40,4,3,3,,Annual agriculture,Pasture,
9322,200929,0,TOPO50,mound,,,NO,CR,40,40,4,1,1,,Pasture,Pasture,
9323,200094,0,TOPO50,mound,ploughed over,,NO,CR,40,40,0.4,None,5,,Annual agriculture,Annual agriculture,
9324,200100,0,TOPO50,mound,,,NO,CR,40,40,1.8,None,3,,Annual agriculture,Annual agriculture,
9325,200089,0,TOPO50,mound,"absolutelly diged out, nearby landfill",,YES,CR,10,10,0.5,1,5,,Other,Other,
9326,200090,0,TOPO50,mound,,,NO,CR,25,25,3,1,1,,Pasture,Pasture,
9332,200320,0,TOPO50,mound,0,11-Nov,NO,CR,40,40,4,5,5,0,Annual agriculture,Pasture,
9333,200336,TELL,TOPO50,tell,,,NO,CR,180,115,5 acc to topomap,NA,NA,,Forest,Forest,
9334,200317,also TRAP code 7026,TOPO50,mound,"pottery scatter around, duplicate TRAP codes",11-Nov,NO,CR,40,20,1.9,None,4,0,Annual agriculture,Annual agriculture,
9335,200318,0,TOPO50,mound,0,11-Nov,NO,CR,20,25,1,None,5,0,Annual agriculture,Annual agriculture,
9336,0,0,GC,mound,,11-Nov,NO,CR,30,40,0.8,None,5,0,Annual agriculture,Annual agriculture,
9337,200314,0,TOPO50,mound,0,11-Nov,NO,CR,40,30,0.5,None,5,0,Annual agriculture,Annual agriculture,
9340,200135,0,TOPO50,mound,"all the soil mixed up, without any special shape, pile of soil in the E part",11-Nov,NO,CR,20,20,1,None,5,0,Forest,Forest,
9341,200131,0,TOPO50,mound,soil mixed up,11-Nov,NO,CR,40,40,4,2,4,0,Scrub,Scrub,
9342,200152,0,TOPO50,mound,"medieval pottery around but doesn't seem to be from the mound (CW,…)",12-Nov,NO,CR,40,30,1.7,None,4,0,Annual agriculture,Annual agriculture,
9343,0,0,GC,mound,0,12-Nov,NO,CR,30,30,1.5,1,4,0,Pasture,Pasture,
9344,200151,0,TOPO50,mound,0,12-Nov,NO,CR,30,30,1.5,1,2,0,Pasture,Pasture,
9345,0,0,GC,mound,0,12-Nov,NO,CR,10,10,1.5,1,4,0,Pasture,Pasture,
9346,200150,0,TOPO50,mound,small fragments of pottery around,12-Nov,NO,CR,40,50,2,None,3,0,Annual agriculture,Annual agriculture,
9347,0,0,GC,mound,"white surface, looks like mortar",12-Nov,NO,CR,40,40,2.5,None,1,0,Scrub,Pasture,
9348,200896,0,TOPO50,mound,0,12-Nov,NO,CR,30,30,1.7,None,1,0,Scrub,Pasture,
9349,200149,0,TOPO50,mound,"stones on the top, probably from the trench",12-Nov,NO,CR,40,40,2.5,1,2,0,Scrub,Pasture,
9350,0,0,GC,mound,"pedoturbation from all sides, partially taken",12-Nov,NO,CR,35,35,4.5,None,4,0,Annual agriculture,Pasture,
9351,200353,0,TOPO50,mound,RT around all the Southern part of the mound,12-Nov,NO,CR,40,50,3,1,2,0,Annual agriculture,Pasture,
9352,0,0,GC,mound,"soil marks on the surface, lighter spot",12-Nov,NO,CR,30,35,1.5,None,5,"9353, 9354",Annual agriculture,Annual agriculture,
9353,0,0,GC,mound,"whitegray spot on the surface, small stones in",12-Nov,NO,UN,15,15,0,None,5,"9352, 9354",Annual agriculture,Annual agriculture,
9354,0,0,GC,mound,"whitegray spot on the surface, small stones in",12-Nov,NO,UN,20,10,0,None,5,"9352, 9353",Annual agriculture,Annual agriculture,
9355,200160,0,TOPO50,mound,0,12-Nov,NO,CR,30,25,1,None,4,0,Annual agriculture,Annual agriculture,
9356,200192,0,TOPO50,mound,0,12-Nov,NO,CR,20,30,0.5,None,4,0,Annual agriculture,Annual agriculture,
9357,0,0,GC,mound,excavated by D. Agre?? Soil totally moved before 2009; near 6011 (2009 duplicated survey mound site!),17-Nov,YES ?,CR,40,40,1,None,5,0,Annual agriculture,Scrub,duplicate
9358,200899,0,TOPO50,mound,dupliate with 8030,17-Nov,NO,CR,35,35,2,2,4,0,Annual agriculture,Pasture,duplicate
9359,200610,0,TOPO50,mound,next to road; 50:50 annual / pasture,17-Nov,NO,CR,30,30,2,1,2,0,Annual agriculture,Pasture,
9360,200611,0,TOPO50,mound,"cut in half, in military area, awesome stratigraphy, 50% mound missing. CRM changed to 4 from 5",17-Nov,YES,CR,70,70,14,NA,4,0,Scrub,Scrub,
9362,0,0,GC,mound,human bones around,17-Nov,NO,CR,40,40,2.5,2,5,0,Pasture,Pasture,
9361,200902,0,TOPO50,mound,number was 9362 originally (duplicate) until field forms revealed that 9361 was correct here,17-Nov,NO,CR,35,25,2,5,4,0,Pasture,Pasture,
9363,0,0,GC,mound,0,17-Nov,NO,CR,25,25,1.5,None,1,0,Scrub,Scrub,
9364,0,0,GC,mound,0,17-Nov,NO,CR,35,35,2,None,1,0,Scrub,Scrub,
9365,200669,0,TOPO50,mound,,18-Nov,NO,CR,30,30,2.5,1,5,0,Annual agriculture,Scrub,
9366,0,0,GC,mound,0,18-Nov,NO,CR,25,25,1,None,1,0,Annual agriculture,Annual agriculture,
9367,200667,0,TOPO50,mound,,,NO,CR,35,35,1,None,2,0,Annual agriculture,Annual agriculture,
