TopoID,Notes,LU_Around,LU_top,RS_Status,RS_feature_type,Source,Length,Width,AtlasHeight,Atlas_page,RT_number,CRM,Elevation,Needs_GC,AS_feedback,RS_note,2001,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Stephanie_Notes,Honza_Notes,Tatjana_Notes
200259,CRM=1 in 2003,Perennial,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,35,35,3,p.4,14m radius round RT in 2005 (excavation?),3,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200260,,Perennial,Perennial,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200261,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,4,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",? = maybe something unsure,X - no new capture this year,X - no new capture this year,,,
200262,"grassy spotty field, hard to recognize, check historical imagery",Perennial,Perennial,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,NA,,LU ok,FP?,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200263,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200264,"CRM=2 in 2003, 2005 then no more mound in 2011",Perennial,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,24,24,5,p.4,12m narrow (1m) RT N-S through mound,5,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200265,,Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,33,20,3,p.4,,2,,,LU ok,TP,X - no new capture this year,? = maybe something unsure,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200266,massive mound,Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,56,51,5,p.4,,2,,,LU ok,TP - tell?,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200267,,Forest,Forest,unverifiable: RS impossible,None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,,,LU ok,Fail to see,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200268,,Scrub,Scrub,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200269,big trench going through the mound,Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,32,32,3,p.4,1 12m embankement,4,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200270,ring of scrub encircles this mound,Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,33,33,3,p.4,one or two 1 - 3 m round trenches?,1,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200271,"soilmark, most distinct in 3/13/2014 imagery in ploughed fieldl",Annual,Annual,"TP - mound recognized clearly in imagery, either current, or some historical image.",Soilmark,Atlas of Yambol Mounds,19,19,3,p.4,,5 - extinct,,,LU ok,TP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200272,"soilmark, most distinct in 3/13/2014 imagery in ploughed fieldl",Annual,Annual,"TP - mound recognized clearly in imagery, either current, or some historical image.",Soilmark,Atlas of Yambol Mounds,21,21,2,p.4,,5 - extinct,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200273,,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,44,35,5,p.4,none visible,1,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200274,visible best in 8/21/2003,Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,27,27,6,p.4,none visible,1,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",? = maybe something unsure,X - no new capture this year,X - no new capture this year,,,
200275,soilmark visible in 2014 only,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark,Atlas of Yambol Mounds,20,20,2,p.4,,5 - extinct,,,LU ok,TP,X - no new capture this year,? = maybe something unsure,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200276,,Perennial,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Cropmark,Atlas of Yambol Mounds,25,20,4,p.4,,2,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200277,,Perennial,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,35,35,5,p.4,none visible,1,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200278,"low certainty, visible only in 2005/3/17; there are other three soilmarks visible to the SW and W",Annual,Annual,"very uncertain = discrete crops, soil or shadowmark in the vicinity (within possible precision error), but not certain",Soilmark,Atlas of Yambol Mounds,40,40,1,p.4,,5 - extinct,,,LU ok,FP?,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200279,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200280,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200281,,Perennial,Perennial,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,4,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200282,"Note a suspicious elongated feature beteen 281 and 282, a garbage pile or a small tell?",Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",? = maybe something unsure,X - no new capture this year,X - no new capture this year,,,
200283,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200284,"some cropmark visible in 2016, 2017",Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200285,TELL or massive mound at 2700181,Perennial,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,85,63,4,p.4,,1,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200286,soilmark visible only in 2005,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark,Atlas of Yambol Mounds,30,30,1,p.4,,5 - extinct,,,LU ok,TP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200287,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200288,"visible in 2014, note other features or stone piles in the field, as the furrows avoid them, visible in 2003",Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark,Atlas of Yambol Mounds,34,34,1,p.4,,,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200289,"cropmark visible in 2005 just west of the point, lost of centurianlike cropmarks and soilmarks visible everywhere in 2005",Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Cropmark,Atlas of Yambol Mounds,18,18,1,p.4,,?,,,LU ok,TP?,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","$$ = yes, visible but in different form than indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200290,old field boundaries visible north of this mound in 2015 and 2013,Annual,Annual,"TP - mound recognized clearly in imagery, either current, or some historical image.",Soilmark and cropmark,Atlas of Yambol Mounds,23,23,1,p.4,,5 - extinct,,,LU ok,TP,X - no new capture this year,? = maybe something unsure,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200293,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200295,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200296,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,4,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200298,,Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,22,20,8,p.4,,,,,LU ok,TP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,,,
200306,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200307,,Perennial,Perennial,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200308,,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,27,27,2,p.4,,NA,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200309,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.4,,NA,,,LU ok,FP,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200319,,Forest,Forest,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.10,,NA,,,LU ok,FP,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200321,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.10,,NA,,,LU ok,FP,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200354,island in the field,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Soilmark,Atlas of Yambol Mounds,22,10,1,p.10,,5,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200357,"lots of lozenges and bumps on earth nearby. Point located between two features, one 10 and another 25 m in length",Annual,Pasture,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Cropmark,Atlas of Yambol Mounds,10,5,1,p.10,,4,,,LU ok,FP,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,,180 m to South from point,
200370,possible mound 120m to the N (in the field),Scrub,Pasture,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.11,,NA,,,LU ok,,X - no new capture this year,? = maybe something unsure,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"$$ = yes, visible but in different form than indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,possible mound 120m to the N (in the field) best in 2014,
200380,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Russian topo maps,NA,NA,NA,,,NA,,,LU ok,,,,,,,,,,X - no new capture this year,,,,,,,,
200381,,Forest,Forest,unverifiable: RS impossible,None visible,Russian topo maps,NA,NA,NA,,,NA,,,LU ok,,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,Just trees,,
200382,,Forest,Forest,unverifiable: RS impossible,None visible,Atlas of Yambol Mounds,NA,NA,2,p.11,,NA,,,LU ok,,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200386,"Likely the mound is somewhere within the patch of pasture, or the patch itself was some archaeological site",Annual,Pasture,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.11,,NA,,,LU ok,is this a TELL?,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,Something visible,,
200387,,Scrub,Scrub,unverifiable: RS impossible,None visible,Atlas of Yambol Mounds,NA,NA,4,p.11,,NA,,,LU ok,,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,Just trees,,
